UTS,YS,EL
195.83826,106.89186,10.740957
197.31213,107.4767,10.197648
198.48114,107.61064,9.679169
198.97714,108.25105,9.112816
200.1477,107.53141,8.865467
200.82245,106.30942,8.651858
201.5911,105.290245,8.405476
202.3214,104.3815,8.122041
202.92653,103.55289,7.8126364
203.52089,102.857056,7.4728537
204.46349,102.508606,7.093169
204.80786,102.03224,6.676589
205.84416,101.741425,6.296159
206.18207,99.602,6.2780523
204.01674,100.14641,5.8169966
206.44484,99.51412,6.299245
210.58006,95.99345,7.623828
213.18503,95.44476,8.11764
218.85652,93.05199,9.387295
198.21048,108.7274,10.701984
199.3139,110.52697,9.95833
201.03136,110.903984,9.452944
202.2706,112.29076,8.760675
203.43657,110.99692,8.613758
204.5279,110.81712,8.261851
205.07782,109.586815,8.030156
206.11215,108.67921,7.7792883
207.17374,108.17772,7.4617214
207.66292,107.18172,7.163185
208.73637,106.895935,6.7874336
209.24661,106.50516,6.3740997
210.38834,106.51209,5.9531364
210.67845,103.71544,6.0181017
208.88593,104.609146,5.5338373
210.13121,104.436646,5.7372446
214.37225,100.93885,7.0699005
217.3163,100.378395,7.611477
222.42114,97.68217,8.879362
201.53561,111.74594,10.575419
203.03087,113.16615,9.915218
204.59468,113.75103,9.369896
206.86449,114.211075,8.925943
207.12497,114.92871,8.322617
208.45981,113.65231,8.190037
209.3897,113.03253,7.8923264
210.31085,111.9779,7.655529
211.99097,111.729614,7.360097
213.06076,111.45387,6.997759
212.94507,110.025986,6.6954947
214.62294,110.514,6.2533264
215.84363,109.75106,5.9757614
216.35982,108.275955,5.8155165
214.75769,108.76276,5.4353466
215.16235,108.606,5.511051
219.64595,105.242,6.84706
222.70575,104.743164,7.3907022
227.18765,101.58977,8.679968
204.02393,113.96158,10.492683
206.5287,114.78934,9.998378
207.79756,116.21734,9.30828
209.95303,117.33075,8.712653
211.21768,116.24329,8.541156
212.21588,117.69223,7.888234
213.32828,116.19279,7.764639
213.86963,115.41441,7.439207
215.7987,115.05963,7.18892
216.79745,114.98006,6.785527
217.08034,113.603745,6.517226
218.70712,114.141266,6.061307
220.41756,111.861,6.1101446
221.20187,111.99899,5.6754827
219.55978,112.24161,5.33879
218.8902,112.851456,5.0980873
223.61633,109.61979,6.437744
226.70898,109.01869,7.007354
231.50949,106.166534,8.276881
206.4419,115.282814,10.526913
208.57968,116.91951,9.885658
210.92047,118.10799,9.324668
212.58275,120.020355,8.57117
213.88136,119.36302,8.283626
215.80798,119.05183,8.046024
216.07744,119.75685,7.4392757
217.20554,119.13936,7.1481028
219.31827,118.5509,6.9593344
220.45786,118.78844,6.5158052
221.10698,119.153404,5.981797
222.309,117.91382,5.7920084
224.237,115.66359,5.859625
225.17198,115.731,5.4282513
223.29875,116.35433,4.9858646
222.02846,117.110466,4.605053
226.75307,114.37535,5.8400793
230.05371,113.268555,6.543228
234.48993,110.32178,7.7851057
207.45601,117.251526,10.350339
209.81366,119.178444,9.689836
212.28044,120.25651,9.154311
214.49554,122.29702,8.4276705
215.89798,122.53279,7.9484177
218.0224,122.16465,7.7422094
219.50592,121.43478,7.5236425
219.92093,122.437225,6.866189
222.1652,121.67296,6.7227
223.5972,121.90399,6.311961
224.03882,121.1811,5.9463453
226.73474,119.620026,5.981056
227.69818,119.350266,5.591257
227.54929,118.14264,5.2426224
227.31294,120.0402,4.751359
226.20686,120.63659,4.4099436
230.21786,118.46416,5.4258595
232.83478,117.199196,6.07302
237.97888,114.88304,7.2737885
208.95306,119.00459,10.243644
211.95029,120.275925,9.731838
213.9419,122.15595,9.042221
216.73344,123.61888,8.450435
217.80672,125.23575,7.6836433
220.33652,125.01057,7.4954433
222.10614,124.83481,7.2112503
222.94763,123.477356,7.0206013
224.99855,123.577896,6.705366
226.75229,123.49199,6.385111
227.34737,122.19748,6.136634
229.55072,122.87628,5.718772
230.95432,123.00608,5.306386
232.25055,123.57324,4.7881556
230.95842,123.66189,4.484194
230.01115,122.64265,4.4836187
232.531,122.21511,4.931608
235.65364,121.26533,5.579006
240.84473,118.97168,6.781124
210.3135,120.088554,10.223121
212.39223,122.030876,9.538609
215.14587,124.27325,8.863703
218.3002,125.75957,8.296781
220.9941,126.86946,7.7493267
221.83745,128.05579,7.127469
224.35803,127.717804,6.952384
225.28128,126.645164,6.7209425
227.3679,126.76271,6.4068155
229.52284,126.89751,6.090625
230.80096,126.455505,5.7666407
232.56303,126.31998,5.4447575
234.03754,126.48851,5.0331507
235.26639,126.52339,4.6018267
234.60182,126.55301,4.3614845
