UTS,YS,EL
186.2794,109.17694,11.162397
181.02534,105.02032,10.607373
178.69334,102.731544,10.158955
181.59126,103.894806,9.502707
183.43896,104.30006,8.992043
186.46518,103.07763,8.541786
191.18848,101.29574,8.088459
195.76256,99.55688,7.7947426
199.8903,97.81952,7.7237787
198.35968,97.06904,7.3884006
196.73021,96.81464,6.9997144
195.22157,95.86159,7.019501
194.34372,94.92474,7.192622
191.65797,90.93121,7.9867506
194.60023,92.52982,8.115888
200.49063,96.45117,7.9431534
210.58247,101.851135,7.699024
219.10754,108.32693,6.9748087
229.07762,113.80258,6.6973553
189.65654,111.37636,11.07851
187.89034,109.547485,10.329411
184.90712,106.82797,9.866604
187.83533,107.9931,9.243461
188.94203,107.896355,8.795004
191.77893,108.58561,8.225265
196.20746,106.549774,7.7855844
200.94928,104.77496,7.5483522
205.6046,103.425224,7.4654675
204.89528,102.14976,7.199729
203.3888,101.969025,6.810572
201.56734,101.66188,6.419141
200.76796,101.4259,6.310895
197.43318,96.555016,7.2609377
198.46011,97.25807,7.2907515
203.01996,99.94818,7.387184
212.70998,104.93786,7.2302055
221.65773,111.637505,6.5011272
231.77206,117.213066,6.2186384
195.47719,115.17109,10.889063
192.40451,112.46106,10.216437
190.20667,110.26781,9.7183695
191.74405,110.461624,9.290538
195.17625,111.97057,8.567952
196.3634,111.919975,8.1256
201.37265,110.664734,7.6347475
205.93678,108.708694,7.412257
211.20926,107.64397,7.3309813
211.83078,107.17374,7.0432234
208.56903,105.650345,6.703275
208.19246,106.37712,6.280183
206.26314,105.547195,5.993433
204.18472,102.66482,6.5535107
203.38332,101.80095,6.7181616
207.47844,104.11595,6.8456116
216.23685,108.21933,6.896162
225.26375,114.97287,6.1645994
235.35378,120.46005,5.9009914
199.77681,117.979866,10.759127
194.4048,113.71324,10.234147
194.79137,113.23985,9.599449
196.74133,113.72228,9.119385
198.14037,113.82123,8.65515
202.75357,116.0987,7.8917723
206.09369,114.44022,7.495989
210.4904,112.85286,7.237175
215.9052,111.63934,7.175972
217.29625,111.3173,6.898895
214.24081,109.85579,6.5647583
213.90408,110.64026,6.1375732
210.35057,108.11273,5.908288
209.79987,107.62164,6.0028667
208.76994,106.38628,6.241392
211.18762,108.26539,6.1777897
218.7297,111.22158,6.491358
227.79012,117.92863,5.7761
238.22609,123.639206,5.5208874
201.73283,119.23122,10.747905
198.73459,116.54825,10.082448
198.27167,115.47942,9.566218
201.75694,117.00873,8.925844
202.99397,117.00485,8.463277
205.60976,117.898994,7.948737
210.1365,118.80904,7.237754
215.02104,117.37344,7.0258703
220.4522,115.85557,6.9943476
223.0609,115.79108,6.7343206
222.15636,116.3706,6.2936373
219.60704,115.07171,5.974371
216.16037,112.5912,5.7402134
215.00749,112.77432,5.3271465
214.16536,112.14573,5.4098644
214.5496,112.38653,5.45776
220.68388,114.36131,5.9724483
229.8008,120.71157,5.360709
239.88577,126.04507,5.1865597
206.37164,122.300125,10.5514555
204.01627,120.04141,9.86251
202.34193,118.17772,9.35402
206.04242,119.830925,8.737429
207.7005,120.11731,8.23244
210.30606,120.99635,7.7347584
213.57295,120.73353,7.255357
218.83423,121.39084,6.829523
224.2748,119.64401,6.819953
227.83363,119.4512,6.6039863
225.59343,118.75562,6.230436
223.24184,117.0838,5.972537
221.71523,116.92125,5.58029
218.65063,115.634796,5.214389
219.334,117.19311,4.7558613
218.87209,116.39859,4.957411
223.06367,117.32794,5.5354404
231.4081,123.20347,4.9629707
241.88663,128.73912,4.831623
210.09018,124.743774,10.416129
205.57852,121.038864,9.86432
205.91605,120.52962,9.202116
208.47505,121.40118,8.722748
211.77126,122.80346,8.046605
214.69351,123.87923,7.554364
217.46152,124.87377,7.009035
221.6624,122.54875,6.8597717
227.39572,121.905624,6.761483
230.86531,121.31994,6.5809374
228.02089,119.95527,6.2490034
228.06165,120.90721,5.826313
227.15948,121.21433,5.4178114
226.67326,122.03826,4.9638777
224.86346,121.51596,4.590416
222.50656,118.90175,4.8141365
225.66734,120.838585,4.8719473
233.0261,125.76811,4.5486946
243.46477,131.0901,4.4989567
212.17105,126.1075,10.369669
210.06851,124.02594,9.661792
209.93437,123.19967,8.9830265
212.51659,124.072945,8.528421
214.85222,124.7726,8.0516815
219.0699,126.79108,7.310668
221.87138,127.77625,6.8227415
225.10435,126.42401,6.660137
230.8726,125.8006,6.5618086
235.83792,125.31832,6.4228945
234.23256,124.95475,6.0506315
233.17058,124.95096,5.6722
232.33913,125.30372,5.262722
231.21434,125.50363,4.843088
229.56093,124.94205,4.4842596
227.00711,123.57498,4.1659803
228.45103,124.600876,4.1638985
234.34691,128.11746,4.1476936
244.7279,133.23119,4.1724186
215.8648,128.55788,10.212665
214.2383,126.77764,9.498726
212.28163,124.72813,8.942529
216.03278,126.410126,8.336368
218.70007,127.334946,7.835495
222.97157,129.34799,7.167658
226.16049,130.62419,6.597006
228.26839,129.66849,6.506591
234.44089,129.82811,6.3537426
240.0848,128.9944,6.26486
239.08693,128.9046,5.8915434
237.5553,128.56062,5.5242004
236.93314,129.04607,5.1123495
235.64865,128.7898,4.743905
234.85728,129.30528,4.3048754
232.40654,127.83089,4.005872
232.02611,128.6666,3.5560036
236.22188,131.08548,3.622919
246.0569,135.47652,3.8306923
219.61201,131.05795,10.036221
215.48282,127.59592,9.481454
215.24931,126.72582,8.739059
218.3224,127.90309,8.299204
222.26591,129.71349,7.629257
225.13708,130.7628,7.1333656
230.31406,133.38603,6.372463
231.21837,133.3199,6.3044176
237.09041,133.23415,6.162444
243.03355,132.65337,6.063878
243.6395,132.62517,5.7407045
242.46487,132.47643,5.3726683
241.4699,132.64812,4.974984
240.69154,133.06071,4.5593596
239.95084,133.57362,4.1238832
237.4388,131.848,3.8511982
236.55754,132.11748,3.4370947
238.8445,134.53676,3.0429783
247.11957,137.54439,3.4941425
221.10408,132.0333,10.016686
219.53543,130.29576,9.297703
217.89694,128.49358,8.586706
221.44438,130.00371,8.087488
225.14525,131.63354,7.46867
229.17361,133.45001,6.909011
232.12808,134.54192,6.405341
235.26085,136.02368,6.135009
240.29543,137.12288,5.9514647
245.93282,135.81631,5.9067516
248.01015,136.26732,5.5937815
246.68208,136.08046,5.2149496
245.9189,136.39853,4.81476
245.56729,137.05061,4.3976545
243.00133,135.23048,4.1286755
242.11848,135.63824,3.7012186
241.335,136.00206,3.282382
241.55681,137.15987,2.855383
247.94711,139.45508,3.1622505
224.72618,134.46068,9.83866
223.3791,132.85266,9.128939
220.22171,130.00871,8.548932
224.81992,132.27022,7.8665895
227.99828,133.49432,7.4133425
232.45222,135.63715,6.7211714
236.03792,137.1357,6.2073116
237.29416,137.33803,6.1052465
242.37254,139.95718,5.787672
248.85533,139.07025,5.7423325
251.15736,139.00598,5.4652004
250.71744,139.32509,5.0884113
249.89967,139.46846,4.705612
249.61668,140.05821,4.3004704
247.3176,138.78773,3.9833622
247.15706,139.69308,3.5425558
246.52126,140.1859,3.1177883
245.31557,140.42932,2.675745
248.94472,141.45482,2.8544712
225.74374,135.14171,9.8209305
224.53305,133.62032,9.110199
223.44951,132.18625,8.375744
227.02147,133.74538,7.7333126
230.60771,135.26457,7.2131195
235.46652,137.64362,6.5611725
239.34605,139.37782,6.020216
242.42328,140.78331,5.874522
244.70065,141.28204,5.7810574
250.88814,142.9666,5.4781313
255.80244,142.95607,5.2932477
254.55844,142.75345,4.9280977
254.39604,143.42088,4.5245523
252.41324,142.00307,4.2549734
251.32654,142.14568,3.8424768
251.2311,143.0217,3.4094353
250.93254,143.83316,2.9683151
250.01558,144.19171,2.5309505
251.0735,143.69334,2.7178192
229.0408,137.35843,9.654377
227.9113,135.88795,8.941314
227.20111,134.67929,8.213698
228.77556,134.91162,7.676833
233.41383,137.14726,7.03769
237.7751,139.15875,6.51091
242.49431,141.52684,5.849413
245.77733,143.04509,5.718484
248.4692,144.18904,5.5951576
253.60402,144.36302,5.4827204
257.87854,144.06877,5.3063965
257.23868,144.28198,4.9242268
256.97205,144.95021,4.514144
256.87473,145.72382,4.0993423
255.69984,145.73811,3.6967344
255.63518,146.73486,3.2515726
255.15523,147.35863,2.821457
252.31953,145.39104,2.544075
253.60222,146.18877,2.5545292
231.79042,139.21742,9.505751
228.83562,136.50517,8.932424
228.9833,135.86711,8.165042
231.6685,136.86716,7.4681044
236.62784,139.32504,6.795306
240.35011,140.9214,6.2892447
244.31143,142.68654,5.8385477
247.84993,144.46547,5.6033516
251.28117,146.10161,5.4509087
255.96375,147.595,5.295288
261.32596,147.10594,5.1676254
260.97336,147.53668,4.777932
260.8226,148.27809,4.3666096
260.40878,148.81038,3.9607735
259.6317,149.07909,3.5531988
259.983,150.30919,3.1065378
259.2109,150.77464,2.677246
256.7314,149.00098,2.3993778
255.89041,148.53087,2.3938713
