UTS,YS,EL
192.36978,106.709,10.636269
193.34216,106.86599,10.165646
193.92485,106.54829,9.724146
194.07259,107.62577,8.971535
195.31578,107.80937,8.516746
195.76114,106.57867,8.335495
196.29865,105.52997,8.122725
196.76031,104.56184,7.8725314
197.05377,103.64456,7.5941257
197.31294,102.835266,7.28507
197.96759,102.36269,6.9413667
197.86873,101.69719,6.55143
198.63765,101.286896,6.2083473
198.8612,98.92025,6.331131
200.49927,98.73994,6.4212246
206.21727,100.179825,6.718421
216.57841,101.84666,7.6986303
225.82495,105.26729,8.08764
236.12836,107.08895,9.022308
192.5245,107.59216,10.5088825
193.40637,107.762375,10.026974
193.76822,108.447136,9.391047
194.73843,108.76458,8.852503
195.62326,108.74887,8.3719225
196.0859,107.7456,8.148538
196.5511,106.65999,7.934618
196.63226,107.76707,7.2289753
197.6411,104.94028,7.412942
198.33759,104.34623,7.113269
199.15065,103.73086,6.8160276
199.19904,103.209274,6.4155526
199.28503,102.607735,6.029793
199.83025,101.80425,5.7791386
201.75092,100.21098,6.249607
206.7834,101.22324,6.5445747
217.50818,103.14607,7.5143967
226.61626,106.35411,7.9356422
237.36441,108.40178,8.879027
193.08469,107.858505,10.523519
193.9996,107.98428,10.052538
195.06169,109.02086,9.429319
195.32323,109.15713,8.849372
196.64955,109.163864,8.41333
196.32376,109.883835,7.7556744
196.9334,108.79748,7.558676
197.40802,107.68906,7.3373113
198.28677,107.280304,7.0285068
198.93803,106.51718,6.75646
200.14696,103.83188,6.915685
200.39934,103.41124,6.5194187
200.68965,102.909676,6.1382327
200.93959,101.981255,5.894468
202.78426,100.36345,6.3605776
208.166,101.62529,6.6459665
218.05316,104.79395,7.187602
227.84222,106.60405,8.051835
237.53471,109.71659,8.579969
193.42943,107.95671,10.544232
194.54726,109.003265,9.935071
195.00734,109.327126,9.375973
196.6787,109.7016,8.899529
196.72249,110.79651,8.106161
197.68037,110.02219,7.889594
198.1307,108.854706,7.69
199.07103,107.90224,7.49289
199.84473,107.14812,7.2390375
199.96535,106.85474,6.8135633
200.18059,105.8702,6.5182533
201.83408,103.8759,6.5995717
202.25676,103.51204,6.2071867
201.7496,102.07855,5.986528
203.523,102.61426,5.9283085
209.62738,102.06752,6.748865
218.78297,105.28569,7.172817
229.1171,106.9495,8.15163
238.44897,110.513275,8.516949
194.21182,108.27485,10.572886
195.70895,109.51195,9.970612
196.1609,109.71316,9.430992
197.34013,109.7787,8.956863
198.13934,111.169754,8.194721
198.51018,109.831116,8.025517
199.39244,109.5306,7.708409
200.07147,108.522194,7.491615
200.3658,107.603065,7.213929
201.45667,107.27636,6.908471
201.83298,106.369225,6.6171827
202.12796,105.821815,6.25071
203.64667,103.806694,6.315326
202.73988,102.47372,6.0330315
205.21779,102.74971,6.1367683
210.60335,102.26219,6.8425035
220.05206,105.77016,7.2376184
229.22638,108.939735,7.6779184
240.15169,111.14667,8.607807
195.30357,108.68968,10.616798
195.80878,110.01422,9.900431
197.0668,109.9736,9.481865
197.81067,111.11432,8.776968
199.20547,111.23772,8.30836
200.08038,110.954185,7.9928284
200.35872,109.69472,7.7917695
201.21283,108.771805,7.578942
202.06183,108.199326,7.298783
202.21625,107.11929,7.030054
203.03435,106.71956,6.692164
203.14116,106.151245,6.3078723
204.01572,106.00983,5.925169
204.33295,103.17028,6.092775
205.98517,103.263885,6.1241493
210.79362,104.22232,6.387888
221.10008,105.840485,7.374858
