UTS,YS,EL
191.5635,105.89104,10.456578
192.88197,105.64902,10.184644
193.95956,105.11101,9.948134
193.25328,103.32544,9.508098
194.83435,103.288765,9.177741
195.8079,102.6801,8.87507
196.79272,102.094986,8.54499
197.59729,101.34144,8.191527
198.09671,100.34782,7.8285894
198.48315,99.26486,7.4474306
199.20009,98.45663,7.031991
198.85974,96.764465,6.614848
199.71811,96.079994,6.19621
204.25397,97.966644,6.643775
206.04784,97.85048,6.9034357
207.98239,97.879776,7.136487
212.58391,99.850006,7.694165
216.96626,101.63583,7.7885523
226.72754,106.78045,8.016402
191.13942,105.70578,10.353345
192.36293,105.39693,10.073657
192.28842,104.07978,9.696492
193.52654,103.7552,9.395223
194.7814,103.39456,9.09291
195.66129,102.748,8.764678
196.52988,102.05961,8.436826
195.20616,99.83005,7.853923
198.27101,100.69705,7.714259
199.1693,100.061646,7.327033
200.23247,99.516945,6.9318247
200.03242,97.9618,6.505027
199.94038,96.47019,6.082717
202.705,97.123535,6.2260103
206.83965,98.74709,6.7154436
208.4746,98.48346,6.9745474
213.43962,100.69223,7.5165205
217.24232,101.95789,7.6707907
226.44994,106.6756,8.010787
191.9505,106.42403,10.344199
193.23016,106.14978,10.072774
194.05156,105.61988,9.683404
194.23317,104.40614,9.372907
196.22806,104.65761,9.084376
194.56036,102.13989,8.5496435
195.69592,101.67419,8.225564
196.64212,101.019394,7.886195
197.72507,100.57837,7.4910517
198.65771,99.94577,7.1199007
201.86264,100.888725,6.9545755
201.9401,99.57828,6.523692
202.12712,98.332886,6.09752
204.58286,98.71884,6.2337866
208.69992,100.32762,6.7240877
210.70392,100.40819,6.956826
213.39662,100.95027,7.2524233
219.18396,103.316055,7.706317
224.67795,105.651566,7.8882055
192.50711,106.90424,10.347182
193.4181,106.473694,9.964597
193.786,105.47099,9.641795
196.13753,106.05796,9.365924
195.19781,104.04084,8.91244
196.70657,103.93569,8.581075
197.66461,103.315414,8.25957
199.24205,103.2012,7.9201956
200.3831,102.756905,7.557235
200.14328,101.22917,7.120263
200.54826,100.09537,6.7414865
204.01503,101.36713,6.5241194
204.26485,100.18762,6.0899954
205.94633,99.87071,6.2452726
207.65897,99.80908,6.3984594
212.92397,102.31995,6.938697
214.5045,101.97359,7.1913786
221.25307,105.081635,7.694295
225.47289,106.3159,7.819188
193.57451,107.830795,10.343959
194.95432,107.8114,9.955247
195.44324,106.890625,9.6464815
197.21175,106.95219,9.38708
197.30975,105.8339,8.927793
198.30637,105.24144,8.626025
199.2815,104.75362,8.23323
200.50679,104.34503,7.8900023
201.00926,103.35431,7.527522
202.35529,103.125595,7.1262617
202.94394,102.15221,6.745822
203.18553,100.959595,6.329215
206.44112,102.041534,6.104823
207.32652,101.0862,6.2153025
210.69145,102.3492,6.4346857
214.59862,103.75212,6.9401712
216.39236,103.62216,7.157502
219.24881,104.07437,7.382573
228.00748,108.534805,7.777049
195.09058,109.13878,10.342536
194.80363,107.790375,9.895631
196.79291,108.0405,9.655475
197.0321,107.03284,9.235442
199.08002,107.31593,8.9547205
200.07545,106.86522,8.565097
200.8518,106.087494,8.247094
202.20407,105.785706,7.9038725
203.40039,105.42003,7.5233316
203.81058,104.31782,7.16611
204.71895,103.67731,6.750144
204.66217,102.23564,6.329831
205.5,101.57347,5.8876963
209.42934,102.942116,6.159997
211.67474,103.261,6.377549
213.74704,103.4001,6.6078672
218.52626,105.46102,7.1736403
221.816,106.26103,7.3668394
230.20009,110.352585,7.7888193
199.4864,113.2716,10.12674
200.2437,112.706825,9.747096
201.81996,112.66337,9.47235
204.79805,113.78772,9.1973295
203.54308,111.56731,8.702935
205.8785,112.095276,8.418769
206.92966,111.62561,8.057015
208.22536,111.26381,7.7226553
210.40659,111.747734,7.338338
211.40047,111.22464,6.9332323
210.90616,109.27606,6.5850496
212.49092,109.31668,6.11852
214.12062,109.21855,5.7467146
216.60208,109.64014,5.647893
219.61433,110.524216,5.934417
221.51854,110.500916,6.1850557
226.6963,112.91691,6.7376204
229.1522,113.30579,6.9545584
237.56148,117.392,7.39034
202.74811,116.34078,9.9756155
205.98181,117.7021,9.720208
206.29268,116.753174,9.32302
208.64613,117.41226,9.0062895
210.76744,117.79285,8.706359
210.30501,116.32507,8.16192
212.45406,116.662575,7.8831835
212.78767,115.53639,7.5135775
215.56848,116.508,7.14499
216.26003,115.7595,6.721408
216.46417,114.395294,6.381631
217.96846,114.38187,5.9078608
221.79866,115.944336,5.692317
222.72893,115.32306,5.239352
226.01813,116.40906,5.558179
227.17363,115.83226,5.739482
232.6852,118.543396,6.2808313
235.15617,118.96502,6.5111856
243.23366,123.13263,6.938634
206.59175,119.739204,9.933103
208.42406,120.074165,9.556144
211.06435,121.00473,9.244987
211.75056,120.41774,8.80441
213.66,120.61786,8.503833
216.47641,121.67839,8.148658
215.23518,119.46022,7.642104
216.62352,119.23427,7.2737226
219.9313,120.61505,6.9327097
220.69914,119.97602,6.4836683
220.35179,118.384766,5.995805
222.35991,118.55884,5.6709013
226.56201,120.43329,5.4605436
