UTS,YS,EL
193.38788,108.449844,9.259564
195.25027,108.49137,8.966424
197.29207,108.62786,8.635022
193.80682,103.91966,8.801774
195.51805,103.76019,8.531964
196.67316,103.0659,8.284768
197.64952,102.202866,8.057551
198.13847,100.86789,7.8686953
197.99884,98.9812,7.7309237
197.49988,96.76442,7.6245146
197.16399,94.659706,7.5147753
195.91603,92.86921,7.586852
198.32361,93.71023,7.616063
208.12947,99.42845,7.301364
208.0842,98.39446,7.4907846
207.84238,97.29206,7.6785383
216.71696,102.28734,7.4268217
215.70654,100.626076,7.659774
224.05972,105.33256,7.4224424
191.29689,106.67224,9.467296
192.95114,106.53539,9.1925955
191.2703,103.4258,9.201028
192.7491,103.08493,8.940425
194.34251,102.79398,8.663247
195.07777,101.74545,8.458571
195.87495,100.71865,8.243348
189.91983,93.760735,8.635575
196.85983,98.07598,7.8744
197.07474,96.50767,7.7207155
197.55634,95.121,7.541709
194.90105,92.81028,7.525222
195.77019,92.384346,7.671031
199.56876,94.12131,7.6395693
206.89716,98.17592,7.445386
206.4987,96.85416,7.661111
215.70897,102.23221,7.3650026
215.07033,100.76716,7.5893564
224.05077,106.04614,7.294526
192.54262,107.813156,9.383208
194.37192,107.82627,9.091975
193.98337,105.89336,9.014438
193.60847,103.8906,8.892051
196.61278,104.859505,8.505904
190.51906,97.82087,8.897824
191.8242,97.24873,8.643733
192.74464,96.290016,8.4161215
193.12053,94.898674,8.258964
193.59375,93.547745,8.078223
200.53896,97.80209,7.31676
198.33504,95.58425,7.2745085
199.54663,95.47381,7.3883905
203.01349,96.903114,7.3882227
210.32927,100.94599,7.1952295
210.21306,99.960526,7.3710413
211.91568,100.196686,7.458543
218.70847,103.724144,7.32051
220.15056,103.76284,7.4246416
193.51749,108.69803,9.312261
193.30396,106.951645,9.224177
193.02342,105.07842,9.1067915
196.64424,106.64411,8.678887
192.66893,101.45067,8.879527
194.42566,101.32284,8.602019
195.49278,100.53545,8.363505
197.42427,100.48825,8.063712
198.30615,99.522255,7.8531103
196.02708,95.75352,7.904931
194.9677,93.61153,7.733485
