UTS,YS,EL
154.22322,53.034824,10.386188
153.33856,50.592163,10.491763
153.49643,49.64659,10.401
162.91641,60.62607,10.275553
169.36482,67.234505,9.805956
174.82916,72.72148,9.385586
180.90042,78.95856,8.967417
187.5245,85.91094,8.570571
194.39066,93.2503,8.216994
200.37704,99.25446,7.9676247
202.12329,98.86848,8.023367
202.79373,97.20677,8.272039
204.68703,96.9796,8.310056
208.21161,99.50045,7.593915
208.99695,97.7785,7.9024954
209.93341,96.137985,8.230603
213.29079,99.03209,7.282279
219.36742,103.70641,6.996249
229.36285,113.57018,5.791991
158.75452,59.083107,10.380561
158.18805,57.07727,10.488431
161.75896,60.730377,10.66777
166.3273,64.934006,10.316345
171.87936,70.468994,9.864162
178.017,76.83638,9.466444
184.01329,83.007454,9.062207
195.29001,96.139786,9.166821
197.74654,97.5049,8.2636595
201.16402,99.639114,8.144238
203.24854,99.74636,8.090724
204.06754,98.21648,8.339257
205.00165,96.83795,8.549297
207.24576,97.09822,8.453902
210.11862,98.61871,7.9899473
210.72643,96.649536,8.340362
214.53917,99.944626,7.3828325
218.66905,102.707054,7.111491
228.82175,112.75405,5.8599443
158.91911,59.090603,10.306766
158.01247,56.627445,10.414271
161.86646,60.389427,10.511495
167.10199,65.759865,10.24756
172.3434,70.716995,9.697373
184.10654,84.888725,9.726481
190.02257,90.89021,9.286322
196.24934,97.29803,8.862507
198.8563,98.183945,8.803406
200.77386,98.22098,8.737467
204.92178,101.84015,7.746996
206.03178,100.637024,7.9557
207.25826,99.58805,8.125271
209.21263,99.52424,8.069075
212.07092,101.02975,7.6064024
213.10786,99.50504,7.919038
214.9087,99.617226,7.7404566
219.81357,104.160805,6.799979
226.9887,110.238434,6.2725077
158.65733,58.606087,10.25914
162.38808,62.299118,10.358752
163.7165,62.892937,10.515261
167.58545,65.92247,10.025696
177.27127,77.26736,9.925509
183.51271,83.61581,9.453902
189.3225,89.52272,9.031797
195.64883,95.90803,8.534806
201.539,101.670105,8.1771145
202.30197,100.03796,8.47736
203.72458,99.440186,8.492009
208.16653,103.173775,7.5914106
209.44225,102.14337,7.775688
210.62173,101.28615,7.7821016
211.48817,99.35827,8.246291
215.44678,102.31179,7.505273
216.16302,100.895966,7.63618
220.85782,105.47734,6.5103292
226.88406,110.03325,6.2521276
158.54477,58.190266,10.169447
162.41565,61.948616,10.229175
163.11026,61.645935,10.375117
167.11899,65.07005,9.885636
177.14001,76.594475,9.66649
182.41696,81.82396,9.231696
190.3421,90.44442,8.858311
196.71979,96.97762,8.403171
202.22214,102.35044,8.136629
204.5791,102.76959,8.073389
206.18141,102.375824,8.063062
207.45305,101.43039,8.207253
211.69093,104.88467,7.3526115
212.12247,103.038895,7.544958
214.59897,103.25654,7.601056
217.22223,104.487045,7.1664934
218.14114,103.085915,7.3728056
219.28677,102.85363,7.147914
227.998,111.40965,5.93192
158.22906,57.393646,10.043592
164.99199,65.36184,10.214963
162.59915,60.622734,10.246053
171.5638,70.79262,9.996663
176.58891,75.46226,9.437203
184.47966,84.0476,9.064212
190.15714,89.82831,8.660094
196.58087,96.3975,8.196164
204.05911,104.35211,7.769886
206.07573,104.734024,7.7135077
208.008,104.56543,7.7411413
208.97446,103.241165,7.947482
210.85744,102.89371,8.048588
214.40497,105.66777,7.202181
215.73898,104.49231,7.4753923
216.83398,103.0348,7.7801085
220.32828,105.705826,6.990674
221.8734,105.79655,6.757106
229.25557,113.01659,5.594899
166.20723,66.73058,9.600505
169.86475,70.367294,9.713071
168.86403,67.45418,9.767137
173.90404,71.95085,9.114812
184.64136,84.70975,9.069648
189.62949,89.25576,8.47145
196.6355,96.674736,8.064129
202.77951,102.896095,7.5982094
210.53268,110.97156,7.062232
213.9591,113.00797,6.9750547
214.45554,111.4571,7.0691204
217.11523,111.924644,7.1071005
219.78375,112.83396,6.8907394
222.68915,114.2962,6.4633913
224.6736,114.11558,6.502097
225.5787,112.48654,6.809537
229.44223,115.3324,6.0735826
231.05664,115.150505,5.9827185
234.78258,118.68542,4.8984594
171.91313,73.39309,9.274573
169.71283,68.73115,9.23041
174.11392,73.13153,9.336297
180.18149,79.07763,8.787147
185.69092,84.346664,8.2262745
197.8366,98.71867,8.11716
202.56363,102.95114,7.5247164
209.59705,110.54352,7.1944256
216.97232,117.98893,6.5764103
219.04999,118.0727,6.658101
220.23415,117.37196,6.6161985
222.83484,117.74009,6.68093
227.66678,121.941444,5.701088
229.67392,121.65154,5.7996235
231.91858,121.87853,5.737962
232.15546,119.24233,6.281167
236.37038,122.48733,5.496217
235.71623,120.72573,5.4908094
240.2289,125.07885,4.3364763
172.91118,73.74253,8.939241
176.07823,76.45732,8.969242
177.06537,75.779785,8.850741
186.69946,86.703094,8.562893
192.094,91.87033,8.0215
199.22829,99.05001,7.410327
210.06995,111.913216,7.3549833
217.22026,119.40085,6.898979
221.89774,122.94619,6.3317213
223.70782,122.502304,6.484371
224.42471,120.56948,6.9027863
227.45682,122.13359,6.510083
232.65024,126.78532,5.458005
234.56145,126.43264,5.5675335
236.03525,125.49531,5.755974
235.36797,123.4656,5.8863516
239.25864,126.28413,5.2038383
237.78145,124.23023,5.130763
241.60715,127.87142,4.0572834
181.05942,84.30977,8.829544
185.26134,88.31814,8.82791
184.67006,85.4426,8.742654
192.66571,93.85982,8.444733
198.97656,100.31645,7.981551
205.87186,107.08064,7.309739
212.32587,113.499374,6.7419806
220.60643,122.5114,6.927141
225.37138,126.15624,6.2574177
227.79787,126.48304,6.282669
228.89331,125.42342,6.3981123
235.17094,131.19777,5.26219
237.00575,130.88821,5.320716
237.38176,129.03465,5.4924536
239.26846,129.5143,5.414192
239.46329,129.18005,5.1359854
241.81696,130.59262,4.632348
239.0227,127.07784,4.758565
243.53038,131.33557,3.7046633
186.75206,91.393265,8.654033
185.72629,88.09618,8.540136
190.78778,92.9793,8.529956
194.73148,95.711555,8.084682
204.70372,107.26087,7.906452
211.72778,114.03435,7.1599016
219.40611,121.99351,6.6044416
224.88483,127.31095,6.0951366
229.74677,130.97346,5.740715
233.01358,132.47305,5.5243845
234.89279,132.59824,5.362853
238.48775,134.16818,5.2470655
240.92538,134.46414,5.264187
239.46355,132.05934,5.3859034
239.6446,131.51717,5.140398
245.4287,136.19466,4.2312164
242.52982,132.86208,4.3329477
240.14511,129.88605,4.3810177
244.68556,133.8771,3.454095
189.17073,94.10587,8.471735
194.19621,99.325676,8.504609
199.23639,103.903786,8.401943
200.54665,102.83943,8.047519
206.92921,108.93709,7.3595047
218.55635,122.63369,7.230423
225.41751,129.16423,6.4652023
228.2806,130.63503,6.1956663
232.15768,132.84172,5.8950253
236.05283,135.04518,5.5939455
238.67964,135.79349,5.4536524
241.99942,137.32068,5.2267256
241.96649,136.3709,5.142997
240.4439,134.35637,5.078964
242.3567,135.58798,4.604517
245.21606,137.49446,4.0485497
242.79416,134.7237,4.078107
240.68582,132.00275,4.0932083
245.17151,135.66907,3.2871675
195.74228,102.72745,8.415722
201.03287,108.05997,8.369122
201.49992,106.213455,8.161749
206.59024,110.53924,8.050145
212.92389,116.52007,7.43923
223.43813,128.31128,7.051609
226.9432,130.11383,6.818733
230.91174,132.97372,6.195014
234.47656,134.56606,6.08488
238.20158,136.62384,5.7827215
240.91522,137.66504,5.5847025
241.29471,137.42096,5.308633
