UTS,YS,EL
201.70734,116.64317,9.761507
199.22429,112.51635,9.619211
198.45381,110.174126,9.464899
196.5196,106.76413,9.168558
196.94438,105.595085,8.950415
196.88809,103.97181,8.750505
196.80815,102.29966,8.535795
197.57623,101.39799,8.193861
198.14665,100.31223,7.834322
198.62462,99.1178,7.456976
199.43442,98.183235,7.046049
199.23961,96.30868,6.634939
200.187,95.50222,6.2206783
202.59065,96.079765,5.9786015
204.64854,96.168625,6.310171
207.40977,96.87501,6.822645
212.57878,99.84739,7.691843
215.72667,100.72399,7.9738445
222.09454,104.500656,8.34038
201.37851,116.34277,9.685598
198.82898,112.15432,9.53665
196.31886,108.08131,9.293711
196.50893,106.73682,9.093813
196.70613,105.358315,8.893148
196.52188,103.60931,8.677153
196.57567,102.06733,8.439043
195.57802,99.42804,7.868742
198.42345,100.56328,7.7219677
199.3906,99.83239,7.338312
200.51321,99.19874,6.946615
200.46092,97.45859,6.5258884
200.50565,95.79456,6.1093235
201.74706,95.21737,5.713606
205.47809,96.96121,6.1138706
207.95406,97.39808,6.6507473
213.53856,100.76466,7.49119
216.3716,101.42182,7.906973
223.21346,105.654854,8.263567
201.94827,116.872215,9.684134
199.44188,112.72492,9.541628
197.92068,109.60502,9.288298
197.11278,107.31175,9.080183
198.02924,106.61935,8.889925
195.0196,102.125275,8.535063
195.95827,101.43029,8.23451
196.93771,100.73272,7.897024
198.09163,100.195724,7.5053654
199.07701,99.484886,7.1373653
202.06238,100.682655,6.9656506
202.28062,99.1987,6.5403996
202.59723,97.79266,6.11952
203.56943,96.96093,5.7285557
207.26573,98.6733,6.122534
210.1082,99.457726,6.6322613
213.61194,100.80801,7.218218
218.37321,103.321785,7.8884754
222.46556,105.03794,8.19105
202.3484,117.24703,9.689581
199.49095,112.74653,9.466631
197.58571,109.28501,9.259542
198.86147,108.976616,9.078966
196.67033,105.27925,8.774012
197.07405,104.08851,8.559561
197.81947,103.211136,8.264109
199.40057,103.08512,7.9257717
