UTS,YS,EL
192.30528,105.823296,9.969784
195.42764,107.47932,9.435854
196.02116,106.39065,9.193714
199.0915,108.17514,8.678815
199.779,107.10545,8.484978
199.90987,105.47647,8.320999
200.38837,104.20083,8.122352
201.1716,103.23029,7.882098
202.17386,102.53406,7.6086264
203.464,102.14332,7.3012276
205.2107,102.17057,6.954358
207.11098,102.4813,6.5520735
208.90219,102.541756,6.206393
193.28368,106.96892,9.892946
196.47498,108.708176,9.353791
200.53226,111.4955,8.701384
201.30954,110.58962,8.476035
201.46577,108.96566,8.322664
202.05852,107.850136,8.111944
202.50539,106.552574,7.9106627
207.76512,110.677086,7.141857
204.37971,104.94128,7.406516
205.75829,104.6018,7.109515
207.09514,104.147255,6.81637
209.17482,104.64234,6.402479
211.09766,104.936424,6.0061274
193.43588,107.060036,9.914788
196.55013,108.71007,9.381514
200.79716,111.62018,8.746916
201.72038,110.97884,8.467065
201.55424,108.9293,8.376767
206.21425,112.50093,7.6602945
206.56656,111.07206,7.4804125
207.06734,109.77682,7.27442
208.65295,109.666534,6.9674683
209.72081,108.983215,6.7017555
206.57559,103.4275,6.93804
208.71397,103.95981,6.5304575
210.69258,104.288155,6.1408052
193.44899,107.02262,9.936302
197.62984,109.88135,9.3160305
201.18329,112.08397,8.716663
201.74547,110.82889,8.546009
204.93518,112.723816,8.00279
205.48943,111.50669,7.8211117
205.80498,110.054016,7.638633
206.26692,108.65735,7.4616413
207.23067,107.8595,7.217202
209.64255,108.762794,6.773203
210.70241,108.06391,6.482416
208.59544,103.63868,6.6306524
210.72917,104.13466,6.2261925
193.56253,107.0493,9.966591
197.84023,109.97031,9.355217
201.26546,112.01546,8.769916
201.2795,110.220955,8.637559
204.5211,112.07345,8.1323185
204.52806,110.298935,7.9857025
206.22981,110.373116,7.665759
206.78635,109.112144,7.466485
207.78267,108.40997,7.1938105
209.4034,108.29453,6.8912926
210.48814,107.60763,6.6046953
212.34184,107.81191,6.2318983
210.32375,103.48657,6.3608127
193.69328,107.05007,10.011084
198.41223,110.62986,9.316933
201.28127,111.90348,8.817551
204.21043,113.43737,8.34518
203.89015,111.21526,8.27073
205.6096,111.325935,7.9534655
205.8762,109.83777,7.769966
206.43413,108.57168,7.5717936
207.73027,108.131294,7.299735
208.55635,107.22816,7.0387287
210.3131,107.2526,6.698056
212.26027,107.58871,6.303686
214.50964,108.15568,5.91243
196.14467,109.37188,10.000218
200.29227,112.20249,9.380525
203.46838,113.86029,8.849397
204.54887,113.104546,8.635419
208.48634,115.84485,8.009977
208.08516,113.502335,7.955614
209.18117,112.90087,7.701847
209.57214,111.45534,7.520088
210.88474,110.943565,7.2845297
212.6001,110.9638,6.959729
213.14227,109.78469,6.684289
215.8754,110.82972,6.279787
216.71535,109.771645,6.0603247
197.8707,111.01308,9.999288
200.99681,112.455605,9.534312
205.27994,115.45895,8.88255
208.07378,116.61888,8.45139
208.06883,114.73612,8.351848
212.78743,118.25972,7.679908
212.21278,115.71787,7.6366777
213.34975,115.18391,7.3431673
214.31648,114.233826,7.1667137
216.41899,114.71166,6.7915897
216.76266,113.252495,6.5618505
219.63988,114.46172,6.142516
217.41597,109.85552,6.316816
198.57806,111.45869,10.08902
202.79509,114.2381,9.499754
206.41072,116.286766,8.975314
211.14833,119.73567,8.298987
211.82993,118.60817,8.102836
212.77025,117.69399,7.9390364
216.72871,120.42952,7.312043
217.76826,119.687004,7.0713663
218.18199,118.08379,6.9699564
220.77055,119.087425,6.552168
224.00023,120.84807,6.020335
223.9807,118.82948,5.9040027
221.6447,114.069664,6.1030583
200.49995,113.58573,9.976033
204.99419,116.64735,9.381325
208.43921,118.47228,8.879499
213.15845,121.79597,8.240974
216.12352,123.186775,7.750616
216.83531,121.978645,7.62836
217.37514,120.65133,7.480138
221.81044,123.87332,6.795087
221.83598,121.801895,6.7510643
224.22273,122.52706,6.378439
225.64754,122.265785,6.0399017
224.0107,118.19255,6.216568
225.90672,118.37913,5.8611894
201.9902,115.1276,9.926389
205.4979,116.91663,9.467009
210.08633,120.14946,8.83638
213.90123,122.327156,8.316005
218.7653,125.96401,7.590291
220.32076,125.60127,7.382819
221.6484,125.13035,7.1627274
221.59114,123.17333,7.038184
223.29306,123.04159,6.7891073
224.88438,122.81548,6.528019
225.19936,121.26084,6.3317165
227.91939,122.209305,5.9668617
230.23659,122.80443,5.5942917
202.74214,115.82345,9.946039
207.36221,119.07067,9.330821
212.0985,122.35816,8.727051
215.83391,124.371765,8.238254
219.60362,126.444664,7.7106533
224.73485,130.40129,6.981662
225.26279,128.90257,6.9043064
225.6361,127.43253,6.731324
227.36,127.314186,6.485977
229.07393,127.16442,6.2374496
230.45091,126.71198,5.9664445
232.01257,126.412285,5.7055035
234.33191,127.006325,5.3332987
204.21727,117.50251,9.846069
209.03136,120.870544,9.250867
212.90184,123.04435,8.766017
217.58931,126.303734,8.141449
221.56648,128.61809,7.600238
226.67348,132.34006,6.919242
229.38658,133.3641,6.539673
228.80348,130.69492,6.524872
231.56194,131.74452,6.163741
233.07137,131.38742,5.92981
234.68452,131.15306,5.654083
235.99077,130.61827,5.400049
238.38823,131.2598,5.038313
205.72935,119.3147,9.712058
209.42833,121.22247,9.275985
214.54573,124.97649,8.636006
218.3682,126.96764,8.183455
223.39336,130.66554,7.4891834
227.40471,132.9684,6.9603834
233.17464,137.48904,6.2049923
232.83525,135.02388,6.1820455
235.38472,135.8639,5.835676
237.10101,135.70631,5.5938663
238.7035,135.38527,5.3509803
240.00024,134.76765,5.129066
242.04135,135.03265,4.7972565
206.21114,119.71817,9.746721
211.06897,123.1562,9.143801
215.88756,126.48843,8.553275
220.08397,128.9812,8.04894
224.83339,132.27473,7.4055347
229.44012,135.2225,6.8457127
233.53664,137.5773,6.313759
236.66283,139.14537,5.853877
239.58095,140.35806,5.484151
240.28648,139.04507,5.362136
242.80885,139.81027,5.01632
244.26447,139.37526,4.758006
246.35466,139.66457,4.434472
207.6446,121.50225,9.599524
212.58626,124.92879,9.026578
216.64738,127.138885,8.59183
221.88142,131.08188,7.909503
