UTS,YS,EL
190.92961,102.92538,10.159516
192.17114,102.47718,9.876712
193.1176,101.55727,9.610439
192.95715,100.92364,9.350223
194.52966,100.86607,9.03085
195.50633,100.19982,8.742575
196.55933,99.66973,8.444287
197.49675,99.10285,8.1418495
198.1902,98.42278,7.8489947
198.82619,97.76553,7.5533366
199.80206,97.45012,7.230057
199.863,96.512276,6.9485717
201.1854,96.44842,6.6754665
205.92337,97.63651,7.0102844
207.95953,98.14103,7.195878
210.12958,98.823944,7.362441
214.57918,99.8504,7.6999574
218.20512,101.8322,7.775303
227.77911,106.5142,8.079898
190.80173,103.44027,10.147106
191.99312,102.99569,9.865589
192.24768,102.34971,9.601622
193.47552,101.957596,9.308138
194.70586,101.48931,9.009255
195.67305,100.9485,8.717528
196.61298,100.32702,8.424468
196.20015,100.04385,8.137254
198.64513,99.40324,7.8105392
199.735,99.11156,7.493582
200.9653,98.86658,7.1627054
201.17322,98.09072,6.873161
201.45851,97.31086,6.5788918
204.763,98.35673,6.7565336
208.8324,99.40919,7.047193
210.71964,99.81451,7.2367454
215.55424,101.19806,7.5469823
218.62009,102.665924,7.652726
228.45932,107.59339,7.932128
191.55809,104.04159,10.113549
192.7721,103.56976,9.832391
193.84409,103.58222,9.530364
194.16046,102.58956,9.275119
196.01703,102.490814,8.951558
195.21051,101.8016,8.69785
196.38362,101.323494,8.39542
197.41748,100.744705,8.091432
198.69804,100.67121,7.767039
199.77768,100.28202,7.453315
202.36748,99.75977,7.106937
202.83307,99.19132,6.8054852
203.37712,98.61918,6.4993515
206.53445,99.53068,6.717844
210.58995,100.57125,7.009288
212.8453,101.32137,7.17196
215.70535,102.253136,7.3651266
220.44525,103.87522,7.61355
227.23041,107.55663,7.788587
192.05629,104.389946,10.093381
193.20174,104.47007,9.792699
193.72478,103.74485,9.529317
195.87053,103.86828,9.200157
195.50938,103.08473,8.940899
197.03577,102.94941,8.624496
198.05246,102.34394,8.32967
199.63818,102.164635,8.0013895
200.89081,101.89001,7.6838646
201.09866,101.24472,7.3968525
201.72354,100.46681,7.095875
204.67642,100.52941,6.72628
205.29382,100.05938,6.418832
207.80824,100.35201,6.694186
209.84155,101.23812,6.8078537
214.93954,102.80387,7.108526
216.80528,103.22126,7.296027
222.37181,105.188774,7.5700817
228.00732,108.439575,7.694874
193.0074,105.103645,10.051852
194.57626,105.52502,9.731371
195.1821,104.77616,9.467259
196.77596,104.40925,9.165378
197.34494,104.33012,8.864305
198.36589,103.65504,8.575667
199.54893,103.58332,8.260549
200.84152,103.212234,7.9446955
201.53688,102.5326,7.6519394
203.05267,102.62821,7.3138
203.83783,101.97855,7.0054173
204.41566,101.410515,6.701678
207.31273,101.433235,6.3680663
209.13324,101.358696,6.641016
212.66946,103.02309,6.7630396
216.53111,103.88007,7.0696745
218.59853,104.55676,7.2292356
221.11359,105.48756,7.3832746
230.33728,110.1317,7.6202564
194.35104,106.08878,9.993497
194.60255,105.89473,9.720687
196.3605,105.58216,9.418318
196.9851,105.40056,9.127447
198.86226,105.274025,8.804156
200.06972,105.24112,8.490966
200.92659,104.5033,8.204324
202.30861,104.20469,7.8838673
203.66544,104.1017,7.559181
204.26663,103.282845,7.269307
205.40773,103.096924,6.938846
