UTS,YS,EL
195.03323,110.56109,9.386764
193.90898,108.11677,9.242029
195.17717,107.80374,8.877603
195.20311,107.310005,8.543429
196.98354,107.55761,8.155155
198.16325,107.24024,7.8037357
198.59903,105.59472,7.7650714
198.92215,103.899284,7.7199836
199.03041,102.13197,7.671649
199.08646,100.37766,7.6172657
199.43535,98.8453,7.550706
199.02663,97.00208,7.467256
199.9622,96.58253,7.2465835
201.33727,94.81505,7.23915
201.54414,94.21972,6.978891
204.66245,95.25242,7.1412916
214.64693,99.77291,7.5516233
224.90938,105.921776,7.503781
239.91959,113.5416,7.7158375
195.18857,111.10299,9.372948
193.62761,108.30041,9.259317
194.10373,107.91044,8.919837
195.57466,107.91902,8.546192
197.06458,107.890205,8.162037
198.2858,107.75467,7.7847986
198.68698,106.16079,7.720175
197.84921,104.8028,7.5875273
199.48141,102.9385,7.622712
199.94481,101.452736,7.56404
200.5163,99.95789,7.5047746
200.47505,98.7524,7.3412013
200.69476,97.964424,7.1154156
201.74,97.295555,6.926135
202.86742,95.882324,6.8552485
205.09901,96.249374,6.987909
214.89415,100.60227,7.399214
224.74959,106.40554,7.3903155
240.14464,114.2932,7.59428
195.64008,111.35907,9.377977
194.36227,108.78072,9.243755
195.59746,108.91389,8.888527
196.19739,108.39654,8.535526
198.29466,108.711296,8.136442
197.63547,108.00024,7.814127
198.5371,107.01873,7.6354513
198.9442,105.30638,7.5957985
199.58894,104.003075,7.531994
200.03804,102.434746,7.4799404
201.77849,100.6072,7.508308
201.9035,99.40777,7.364087
202.36269,98.7855,7.134218
203.1696,97.94991,6.949411
204.28511,96.52799,6.8788586
206.94167,97.24588,7.0028973
214.0522,101.118675,7.174951
226.74959,107.482704,7.410009
238.38106,114.12646,7.4228363
195.92313,111.486305,9.382566
194.66533,109.303856,9.242818
195.443,108.956566,8.897001
197.8057,109.453735,8.501141
197.64265,108.82885,8.162344
199.38959,109.03045,7.7734075
200.0344,107.75114,7.642642
200.937,106.32975,7.6008587
201.54686,104.85732,7.550333
201.23174,103.147804,7.474592
201.46092,101.705376,7.358145
203.53973,100.333786,7.3659573
204.07167,99.82311,7.1265655
204.17499,98.371765,6.9717116
204.72424,98.522484,6.6356335
208.74666,98.21276,7.0192814
214.90218,101.803085,7.133854
228.66052,108.55837,7.419713
238.88898,114.77091,7.3550305
196.47105,111.76369,9.38984
195.94907,110.16363,9.215403
196.82277,109.83023,8.866792
198.68147,109.9533,8.481118
199.3907,109.90583,8.123091
200.69662,109.72866,7.7409987
201.39243,108.68258,7.6257296
202.03436,107.125694,7.5835047
202.14452,105.35917,7.5352964
202.99464,104.16547,7.469234
203.32622,102.72632,7.3648176
203.80244,102.07819,7.143414
205.73334,100.64008,7.1454334
205.36028,99.11083,6.964329
206.91667,99.38555,6.689763
210.26471,99.00997,7.0391808
216.55902,102.81963,7.124734
225.6403,108.124374,7.1554656
241.13156,116.13981,7.34545
197.23395,112.13094,9.400393
195.91405,110.33996,9.222626
197.94424,110.525314,8.842133
198.73125,110.4549,8.489334
200.85378,110.76118,8.089111
202.23865,110.91634,7.7130823
202.63629,109.357735,7.6258554
203.3534,107.84867,7.5831547
204.06552,106.5174,7.525054
204.08366,104.62894,7.480654
204.71051,103.47846,7.3708954
204.97064,102.74299,7.1447773
205.99974,102.57656,6.896827
207.18602,100.294624,6.9456034
207.91113,100.184395,6.659256
210.06934,100.67313,6.6826673
218.52733,103.80073,7.161783
228.00795,109.45845,7.167218
243.24919,117.23708,7.374813
200.14845,114.437584,9.407396
200.60985,113.83835,9.129715
202.35464,113.94721,8.76071
205.23418,114.77461,8.353609
204.88708,114.1511,8.021863
207.26382,114.60868,7.615195
207.93916,113.37009,7.5249624
208.6057,111.79136,7.4860945
210.09225,110.93452,7.423039
210.77165,109.80372,7.3272743
210.35088,108.04968,7.1857085
212.09947,108.5346,6.9079285
213.42812,107.94035,6.742106
214.64055,106.69306,6.651011
215.6511,106.327866,6.4224005
217.09485,106.37189,6.3611994
224.8235,108.79351,6.876915
233.42085,113.93917,6.912873
248.74069,121.70995,7.1310997
202.30438,116.14432,9.4143305
205.39185,117.028435,9.029184
206.22896,116.92037,8.68899
208.66338,117.59481,8.294981
210.8887,118.021576,7.894473
211.2488,117.98721,7.550476
212.758,117.02516,7.4326935
212.75046,115.21839,7.3821983
214.68593,114.56053,7.32153
215.57605,114.30489,7.0864544
215.6464,112.7597,6.9547353
217.3814,113.29791,6.668757
219.72903,112.019066,6.6816306
220.852,111.904366,6.4231386
221.97322,111.42514,6.218915
222.46109,111.392166,5.982433
228.97429,112.69068,6.5539308
236.58011,117.20648,6.636407
252.39214,125.380424,6.8323727
205.53395,118.38627,9.3509655
207.60162,118.983955,8.994642
210.26765,119.79231,8.611988
211.44952,120.04311,8.252897
213.51851,120.36201,7.8557825
216.3899,121.36329,7.4445133
215.55228,119.81257,7.3213325
216.5268,118.81367,7.2193894
219.0838,118.84255,7.079128
220.16182,118.906715,6.8149033
220.50528,118.75994,6.5123134
221.93753,117.87769,6.398147
224.54262,116.707085,6.4167404
225.61194,116.598305,6.161313
226.31747,116.22994,5.901851
227.17595,116.108696,5.624968
232.50076,116.734184,6.1386805
239.20686,120.21604,6.3296537
253.8725,127.71172,6.5457854
206.12624,119.39971,9.356211
208.43684,120.240005,8.997312
211.35759,121.14663,8.607655
213.40164,121.916534,8.228382
215.11407,122.11506,7.842511
218.35371,123.31965,7.4221992
220.08658,122.7553,7.2812505
219.77719,122.49166,6.970557
222.59618,122.509605,6.852413
224.10901,122.745735,6.5986466
224.3488,121.76363,6.4027843
227.9595,121.50637,6.3778205
228.87619,121.12517,6.1516757
228.4193,119.4647,5.983106
231.13713,120.851845,5.6470957
232.99532,120.91187,5.4234486
237.36064,121.39167,5.7732434
241.64516,123.034515,6.0215592
255.8218,130.43253,6.236884
207.52805,120.76773,9.339145
211.23837,122.159454,8.942667
213.06706,122.750984,8.585466
216.30771,123.97774,8.175695
216.73534,123.75803,7.825463
220.51048,125.30701,7.39303
222.89204,125.979355,7.0781183
223.92851,124.89919,6.971288
226.33766,125.39399,6.7559633
228.32881,125.57522,6.5473785
228.93364,124.33433,6.41584
231.4082,125.24859,6.1365814
232.88634,125.38166,5.883678
234.06471,125.681206,5.5731277
