UTS,YS,EL
191.82382,106.896355,10.879988
193.08727,107.38389,10.250954
194.00616,107.431564,9.64937
194.61205,108.69437,8.786108
195.56026,107.92348,8.53677
195.93692,106.66101,8.3137245
196.44046,105.5978,8.056038
196.91136,104.636765,7.755167
197.24564,103.742516,7.420782
197.59377,102.980095,7.052019
198.28395,102.528824,6.6440964
198.31805,101.93322,6.1781616
199.1167,101.54133,5.7719364
202.283,100.04676,6.282934
206.69812,101.1703,6.633625
211.28278,102.499466,6.95467
216.58162,101.84009,7.8932323
221.0948,103.312996,8.149595
226.32048,102.85902,8.992443
192.04903,107.781105,10.745136
193.29889,108.317314,10.105783
194.11887,109.382355,9.291786
195.44495,110.04394,8.614145
196.05827,108.957466,8.37854
196.5274,107.959526,8.109547
196.93835,106.84967,7.8488274
197.34067,108.12337,7.022667
198.0666,105.153984,7.224802
198.77704,104.57,6.868473
199.57199,103.94901,6.514454
199.75609,103.498726,6.037863
199.9608,102.95998,5.5780735
202.51646,102.80293,5.5976944
207.61401,102.54177,6.4033127
211.97339,103.674644,6.7441483
217.5839,103.2547,7.663641
222.0179,104.53001,7.961727
227.5739,104.24738,8.806385
192.65816,108.07554,10.769007
193.89955,108.549286,10.140448
195.3821,109.95166,9.345806
196.04037,110.440636,8.617401
197.07272,109.36506,8.437815
197.06502,110.24967,7.663973
197.63252,109.144516,7.4252186
198.11615,108.042534,7.158327
199.02016,107.649345,6.7938995
199.65613,106.881676,6.4682293
200.52562,104.02668,6.640444
200.91765,103.67901,6.171179
201.33058,103.24183,5.7191525
203.55495,102.9396,5.7059345
208.64171,102.671745,6.511757
213.28194,104.02787,6.833399
218.27968,105.105576,7.2783356
223.14607,104.711235,8.070354
227.9539,105.77067,8.468039
193.03218,108.19317,10.796719
194.55962,109.59815,10.020096
195.42322,110.29056,9.291054
197.37178,110.98722,8.684471
197.40985,111.18987,8.06818
198.29405,110.32272,7.8303185
198.73567,109.15278,7.5882854
199.62885,108.17875,7.352436
200.37819,107.415276,7.0491905
200.64246,107.19748,6.544653
200.92006,106.24671,6.1899986
202.29124,104.1114,6.2782
202.7834,103.78633,5.8121014
204.28209,102.98992,5.793524
208.92441,104.84145,5.986107
214.56975,104.3704,6.9227085
219.0585,105.63919,7.2470875
224.3051,104.986,8.157837
228.90254,106.61909,8.3793545
193.77116,108.497,10.834656
195.64102,110.0765,10.06789
196.52478,110.66535,9.361216
197.98221,111.01824,8.764124
198.71344,111.44665,8.203873
199.0978,110.11579,7.9978104
199.96254,109.81039,7.62208
200.65433,108.80995,7.3629436
200.98897,107.9136,7.0293903
202.07397,107.58715,6.6696663
202.47824,106.69693,6.3199635
202.89438,106.212944,5.8853283
204.14761,104.065346,5.953066
205.1309,103.33303,5.8216953
210.5406,104.89725,6.1956215
215.51263,104.53239,7.011015
220.19688,106.055374,7.2964687
224.70119,107.28501,7.618582
230.44667,107.173874,8.445856
194.8045,108.89452,10.891758
195.84929,110.61394,9.9966545
197.40002,110.92369,9.425262
198.62727,112.43282,8.567373
199.7299,111.487564,8.346714
200.62206,111.21591,7.9744377
200.9331,109.974174,7.7306767
201.69202,109.00684,7.4733124
202.59239,108.46206,7.1433563
202.81459,107.418,6.8198757
203.63252,107.022095,6.418997
203.87535,106.52486,5.9620667
204.80046,106.41255,5.5113907
206.454,103.92521,5.850851
211.23814,105.39041,6.1636734
215.91328,106.76284,6.4859676
221.25572,106.091324,7.432926
226.14351,107.63058,7.7280884
231.5594,107.2732,8.57095
198.83467,112.044106,10.808626
200.24686,113.385735,10.030363
