Alloy_ID,PH_Al,PH_Si,PH_AlSc2Si2,PH_Mg2Si,EL_Si,EL_Mg
1,0.96828,0.02701,0.00471,-2.86E-17,4,0
2,0.96369,0.03084,0.00547,-4.60E-17,4.5,0
3,0.95893,0.03478,0.00629,5.29E-17,5,0
4,0.95436,0.03878,0.00686,1.21E-17,5.5,0
5,0.94952,0.04285,0.00763,-2.95E-17,6,0
6,0.94458,0.047,0.00842,2.43E-17,6.5,0
7,0.93964,0.05116,0.0092,-2.78E-17,7,0
8,0.93459,0.05543,0.00998,-3.12E-17,7.5,0
9,0.92957,0.05968,0.01074,1.00E-05,8,0
10,0.92452,0.06399,0.01149,-1.39E-17,8.5,0
11,0.91932,0.06843,0.01225,-3.12E-17,9,0
12,0.91428,0.07275,0.01297,2.26E-17,9.5,0
13,0.90908,0.0772,0.01373,-1.00E-05,10,0
14,0.90345,0.0818,0.01475,2.78E-17,10.5,0
15,0.8982,0.08634,0.01546,0,11,0
16,0.89302,0.09081,0.01617,-3.82E-17,11.5,0
17,0.88725,0.09556,0.01719,0,12,0
18,0.88187,0.10024,0.01789,-3.82E-17,12.5,0
19,0.87626,0.10486,0.01888,-3.47E-17,13,0
20,0.87078,0.10968,0.01954,0,13.5,0
21,0.96154,0.02618,0.00456,0.00772,4,0.01
22,0.9557,0.02985,0.00531,0.00914,4.5,0.01
23,0.95114,0.03384,0.00595,0.00907,5,0.01
24,0.9457,0.03772,0.00671,0.00987,5.5,0.01
25,0.94104,0.04183,0.0075,0.00963,6,0.01
26,0.93632,0.04594,0.00826,0.00948,6.5,0.01
27,0.93129,0.05008,0.00904,0.00959,7,0.01
28,0.92651,0.05443,0.00952,0.00954,7.5,0.01
29,0.92111,0.05859,0.01058,0.00972,8,0.01
30,0.91603,0.0629,0.01133,0.00974,8.5,0.01
31,0.91204,0.06749,0.01211,0.00836,9,0.01
32,0.90569,0.07174,0.01282,0.00975,9.5,0.01
33,0.90054,0.07619,0.01355,0.00972,10,0.01
34,0.89912,0.08127,0.01437,0.00524,10.5,0.01
35,0.88974,0.08524,0.0153,0.00972,11,0.01
36,0.88452,0.08983,0.01601,0.00964,11.5,0.01
37,0.87894,0.09441,0.01702,0.00963,12,0.01
38,0.87357,0.09916,0.01773,0.00954,12.5,0.01
39,0.868,0.10378,0.01872,0.0095,13,0.01
40,0.86278,0.10873,0.01909,0.0094,13.5,0.01
41,0.96121,0.02613,0.00456,0.0081,4,0.02
42,0.95514,0.02978,0.00532,0.00976,4.5,0.02
43,0.95043,0.03376,0.00596,0.00985,5,0.02
44,0.94613,0.03777,0.00669,0.00941,5.5,0.02
45,0.94159,0.04191,0.00751,0.00899,6,0.02
46,0.93654,0.04597,0.00799,0.0095,6.5,0.02
47,0.93145,0.05017,0.00878,0.0096,7,0.02
48,0.92707,0.05453,0.00958,0.00882,7.5,0.02
49,0.9214,0.05863,0.01031,0.00966,8,0.02
50,0.91632,0.06294,0.01108,0.00966,8.5,0.02
51,0.91198,0.06753,0.01216,0.00833,9,0.02
52,0.90567,0.07179,0.01287,0.00967,9.5,0.02
53,0.90056,0.07625,0.0136,0.00959,10,0.02
54,0.89815,0.0811,0.01442,0.00633,10.5,0.02
55,0.88944,0.08527,0.01535,0.00994,11,0.02
56,0.88438,0.08976,0.01605,0.00981,11.5,0.02
57,0.87903,0.09443,0.01683,0.00971,12,0.02
58,0.87354,0.0991,0.01778,0.00958,12.5,0.02
59,0.86773,0.10377,0.01855,0.00995,13,0.02
60,0.86224,0.10872,0.01919,0.00985,13.5,0.02
61,0.96113,0.02611,0.00457,0.00819,4,0.03
62,0.95556,0.02991,0.0052,0.00933,4.5,0.03
63,0.95068,0.03378,0.0059,0.00964,5,0.03
64,0.94571,0.03773,0.00671,0.00985,5.5,0.03
