Alloy_ID,PH_Al,PH_Al(2),PH_Si,PH_AlSc2Si2,PH_Mg2Si,EL_Si,EL_Mg
1,0.75024,0.20956,0.02601,0.0047,0,4,0
2,0.71472,0.24344,0.03021,0.00546,0,4.5,0
3,0.67857,0.27965,0.0347,0.00628,0,5,0
4,0.64131,0.30499,0.03785,0.00685,0,5.5,0
5,0.60353,0.33916,0.04209,0.00761,0,6,0
6,0.56565,0.37426,0.04644,0.0084,0,6.5,0
7,0.52722,0.409,0.05075,0.00918,0,7,0
8,0.48776,0.44372,0.05506,0.00996,0,7.5,0
9,0.44841,0.47748,0.05925,0.01072,0,8,0
10,0.40861,0.5108,0.06339,0.01147,0,8.5,0
11,0.36758,0.5444,0.06756,0.01222,0,9,0
12,0.3269,0.57625,0.07151,0.01294,0,9.5,0
13,0.28582,0.60992,0.07569,0.01369,0,10,0
21,0.75038,0.20369,0.02529,0.00456,0,4,0.01
22,0.71486,0.23708,0.02944,0.00531,0,4.5,0.01
23,0.67822,0.26551,0.03297,0.00595,0,5,0.01
24,0.64147,0.29942,0.03718,0.00671,0,5.5,0.01
25,0.6037,0.33462,0.04155,0.0075,0,6,0.01
26,0.56583,0.36844,0.04575,0.00826,0,6.5,0.01
27,0.52741,0.40314,0.05005,0.00904,0,7,0.01
28,0.4874,0.42482,0.05274,0.00952,0,7.5,0.01
29,0.4486,0.47182,0.05858,0.01058,0,8,0.01
30,0.40881,0.50541,0.06275,0.01133,0,8.5,0.01
31,0.36779,0.54039,0.06709,0.01211,0,9,0.01
32,0.32713,0.5719,0.071,0.01282,0,9.5,0.01
33,0.28605,0.6043,0.07502,0.01355,0,10,0.01
41,0.75051,0.20401,0.02535,0.00456,0,4,0.02
42,0.71501,0.23785,0.02955,0.00532,0,4.5,0.02
43,0.67837,0.2667,0.03314,0.00596,0,5,0.02
44,0.64163,0.29891,0.03713,0.00669,0,5.5,0.02
45,0.60387,0.33565,0.0417,0.00751,0,6,0.02
46,0.56548,0.35704,0.04435,0.00799,0,6.5,0.02
47,0.52705,0.39225,0.04872,0.00878,0,7,0.02
48,0.48759,0.42783,0.05314,0.00958,0,7.5,0.02
49,0.44825,0.46066,0.05722,0.01031,0,8,0.02
50,0.40846,0.49508,0.06149,0.01108,0,8.5,0.02
51,0.36801,0.54311,0.06745,0.01216,0,9,0.02
52,0.32735,0.57474,0.07138,0.01287,0,9.5,0.02
53,0.28628,0.60726,0.07542,0.0136,0,10,0.02
61,0.75065,0.20463,0.02544,0.00457,0,4,0.03
62,0.71467,0.23307,0.02898,0.0052,0,4.5,0.03
63,0.67853,0.2641,0.03283,0.0059,0,5,0.03
64,0.64179,0.30056,0.03736,0.00671,0,5.5,0.03
65,0.60351,0.3263,0.04055,0.00729,0,6,0.03
66,0.56565,0.36084,0.04484,0.00806,0,6.5,0.03
67,0.52724,0.39595,0.0492,0.00885,0,7,0.03
68,0.48779,0.43224,0.05371,0.00966,0,7.5,0.03
69,0.44845,0.46672,0.05799,0.01043,0,8,0.03
70,0.40867,0.49654,0.06169,0.0111,0,8.5,0.03
71,0.36765,0.53158,0.06604,0.01189,0,9,0.03
72,0.32757,0.57687,0.07167,0.0129,0,9.5,0.03
73,0.28651,0.60905,0.07566,0.01362,0,10,0.03
81,0.75079,0.20552,0.02556,0.00458,0,4,0.04
82,0.71481,0.23419,0.02913,0.00521,0,4.5,0.04
83,0.67868,0.26606,0.03309,0.00593,0,5,0.04
84,0.64196,0.30265,0.03763,0.00675,0,5.5,0.04
85,0.60368,0.32927,0.04094,0.00734,0,6,0.04
