UTS,YS,EL
183.48398,99.79057,10.566094
185.96295,100.83151,9.971532
187.79886,101.25668,9.379899
192.9873,104.92298,8.723168
196.32138,106.67857,8.077535
197.18752,105.74765,7.9312115
197.85059,104.495964,7.9058714
198.84451,103.534134,7.8578157
200.07278,102.83117,7.7917852
201.61142,102.42018,7.7048836
203.65121,102.42131,7.588828
205.84924,102.673256,7.4527206
207.93794,102.70957,7.334853
206.06894,98.68576,7.487872
208.88736,99.48591,7.312709
212.04117,100.58795,7.117198
214.70111,99.67915,7.427104
222.75656,104.17019,7.4017
228.75208,105.654366,7.8064537
233.57556,107.401855,8.005951
185.23187,101.473885,10.540158
187.8348,102.63619,9.943824
192.00607,105.32353,9.310664
194.90295,106.721405,8.690371
197.75601,108.04163,8.05512
199.49677,108.037834,7.7814913
200.12637,106.76312,7.7571306
205.94267,110.68643,7.3783464
202.44598,105.16131,7.6408834
204.08463,104.81251,7.552141
205.68462,104.35527,7.467619
208.0766,104.7887,7.320327
210.30157,105.0296,7.184883
211.7484,104.34523,7.111725
211.0787,101.5774,7.181244
213.98958,102.464485,6.99846
215.88547,101.09116,7.251584
223.76305,105.357956,7.25519
229.86507,106.90776,7.6582193
236.3712,111.3154,7.4597692
185.39532,101.58063,10.53428
187.86346,102.6136,9.940363
192.25041,105.4494,9.298119
195.29393,107.05195,8.681705
197.91994,108.11133,8.046123
203.9742,112.51389,7.48279
204.50159,111.117035,7.467636
205.19046,109.84343,7.4406347
207.05112,109.72062,7.3392534
208.35532,109.04012,7.2723465
205.12729,103.69236,7.5190115
207.5831,104.1674,7.3702526
209.86868,104.4471,7.233574
211.24847,103.7183,7.162096
210.5739,100.9471,7.2318125
213.74817,102.06261,7.035924
217.65689,103.31447,6.96385
223.7105,105.02994,7.323138
231.36992,108.84823,7.401989
236.18553,110.64314,7.5896816
185.3541,101.51063,10.533704
189.66672,104.29329,9.902328
192.95448,106.13534,9.289666
195.43578,107.07214,8.670232
200.78255,110.86864,7.9966125
203.20013,111.5978,7.5528126
203.68582,110.17335,7.5387726
204.33652,108.815865,7.520071
205.52737,108.0293,7.462348
208.27475,108.858116,7.2915516
209.57022,108.148445,7.220709
207.461,103.90039,7.3976974
209.91685,104.34528,7.2504234
210.79182,103.17531,7.204526
214.9761,105.31843,6.9417715
213.48566,101.64365,7.0742893
218.01428,103.64047,6.933487
223.7435,104.81186,7.376645
232.00674,109.519135,7.3276005
236.9182,111.33951,7.5213356
185.42755,101.51867,10.528212
189.85023,104.376816,9.892174
192.8991,105.98487,9.283033
195.09723,106.69076,8.672314
200.56033,110.53278,7.990488
202.1648,110.46081,7.634881
204.14908,110.5167,7.5241165
204.89859,109.28189,7.4958754
206.12036,108.57325,7.430294
208.02255,108.45125,7.32872
209.34683,107.757904,7.2576494
211.49603,107.918915,7.130207
