UTS,YS,EL
191.71503,106.43363,9.970404
192.97255,106.15074,9.690668
193.99883,105.6088,9.417093
193.38628,103.688225,9.2280445
194.90968,103.58201,8.922689
195.8473,102.92623,8.645351
196.83083,102.30239,8.362951
197.65454,101.50504,8.08296
198.1893,100.46009,7.818777
198.63243,99.32548,7.5569706
199.38339,98.43345,7.2732506
199.12674,96.65572,7.043089
200.01556,95.88715,6.752136
202.4388,96.339005,6.3712273
204.50684,95.83371,6.819479
207.12482,95.67822,7.3801575
214.59523,99.8675,7.671194
221.04709,103.00153,7.790533
231.26569,109.310585,7.741089
238.08868,113.42115,7.724037
191.34929,106.1831,9.994017
192.54536,105.851715,9.717382
192.51381,104.43629,9.500223
193.71458,104.06803,9.216536
194.93068,103.66845,8.925583
195.81383,102.98118,8.651787
196.67415,102.24537,8.375774
195.52803,99.81105,8.201958
198.46088,100.79121,7.8099422
199.3811,100.087814,7.524351
200.45229,99.46943,7.2236195
200.33614,97.82505,6.9867897
200.31992,96.248276,6.7420216
201.51154,95.67736,6.426386
205.32733,96.73919,6.695057
207.64809,96.296455,7.282982
215.14345,100.4835,7.5810986
221.3574,103.42859,7.737503
231.98973,110.12292,7.660734
234.3767,110.40526,7.8603096
192.17007,106.93238,9.9529
193.40335,106.628944,9.674341
194.24196,106.00175,9.4132595
194.42062,104.72397,9.182228
196.3581,104.96247,8.8538265
194.85518,102.250984,8.706755
195.98431,101.75378,8.416653
196.94733,101.07223,8.128895
198.05519,100.562775,7.8368473
198.99687,99.867615,7.5495815
202.04744,100.895226,7.1423416
202.20775,99.501686,6.891487
202.46947,98.17741,6.6326637
203.38603,97.35717,6.331049
207.14047,98.38183,6.585165
209.82994,98.29311,7.140814
214.64517,100.16453,7.542486
223.29507,105.19822,7.619755
230.87556,109.2698,7.687647
237.36305,113.082664,7.6893635
192.72989,107.43942,9.924816
193.65495,106.91473,9.6632595
194.02832,105.84722,9.426504
196.28902,106.411644,9.0878525
195.43456,104.236305,8.9054165
196.92683,104.09498,8.600733
197.89343,103.45168,8.318829
199.45885,103.31019,8.000484
200.6027,102.811134,7.7054176
200.4508,101.180855,7.4764767
200.90175,99.99658,7.2064724
204.23697,101.331245,6.7890053
204.54016,100.04886,6.5287285
204.72737,98.55787,6.263241
206.24998,97.826805,6.519148
211.96529,100.24343,7.002865
215.63277,101.1065,7.4612427
225.18272,106.932274,7.5025578
231.67099,110.08982,7.6170483
238.57658,114.26844,7.5959854
193.76543,108.37613,9.872957
195.13904,108.25733,9.588837
195.63966,107.29543,9.344894
197.33037,107.338585,9.034813
197.48488,106.07213,8.801056
198.49734,105.480415,8.519094
199.4812,104.901665,8.23987
200.72214,104.47262,7.9380608
201.2597,103.43073,7.6738415
202.61592,103.12788,7.366638
203.235,102.095856,7.0883713
203.54964,100.8316,6.829111
206.68297,101.97205,6.419676
206.1579,99.85688,6.1916714
209.1627,100.434135,6.3550167
213.60782,101.739105,6.9001637
217.40257,102.73495,7.3414726
223.17973,105.3655,7.55987
233.96445,112.21609,7.469677
240.55502,116.07482,7.474798
195.23656,109.70214,9.798758
195.04765,108.22448,9.596439
196.95558,108.476524,9.278212
197.24666,107.353355,9.042469
199.21846,107.616615,8.712175
200.23328,107.085304,8.43404
201.03633,106.296425,8.160555
202.35997,105.94003,7.855097
203.58963,105.53173,7.5561504
204.04651,104.39301,7.2926273
204.97276,103.661125,7.0005417
204.99818,102.14045,6.7562943
205.87625,101.379295,6.4670105
208.32571,101.82307,6.0829105
210.1506,101.38676,6.2695026
212.88692,101.34084,6.8219547
219.48106,104.67332,7.201145
225.51295,107.5036,7.4159737
235.982,114.0485,7.349531
242.29124,117.65483,7.369774
199.58994,113.76273,9.586277
200.36887,113.106995,9.332275
201.9138,113.05985,9.03385
204.77568,114.16456,8.664854
203.67728,111.79734,8.495876
205.9461,112.32256,8.150055
207.02719,111.81327,7.864374
208.31505,111.42129,7.560299
210.47379,111.84844,7.2145824
211.50552,111.257996,6.923918
211.08664,109.278175,6.697523
212.70995,109.22167,6.373823
214.33867,109.08697,6.04327
216.18369,109.07479,5.6946316
217.89912,108.75515,5.629429
220.4846,108.560844,6.197426
226.64229,111.41259,6.6381607
231.95522,113.71654,6.942753
242.46431,120.28967,6.876093
248.97812,124.073235,6.883135
202.78801,116.75626,9.432678
205.90555,118.12086,9.05587
206.27199,117.08025,8.81949
208.58289,117.72014,8.479616
210.66263,118.09548,8.1447315
210.33852,116.448586,7.938282
212.46573,116.823654,7.595875
212.84384,115.641426,7.3397503
215.58278,116.578026,6.963644
216.32608,115.744354,6.6889267
216.55356,114.33843,6.429718
218.12639,114.244,6.108774
221.82625,115.88886,5.6701393
222.79753,115.16677,5.368572
224.16121,114.73208,5.1031914
226.04973,113.96949,5.685606
232.01416,116.59551,6.1586018
236.46573,118.154884,6.570406
247.33035,125.109955,6.488104
253.21231,128.27881,6.5403404
206.51654,120.15972,9.2487755
208.31703,120.40352,8.940811
210.89218,121.30722,8.591858
211.62325,120.595955,8.335056
213.52689,120.813416,8.00898
216.30695,121.84832,7.6401005
215.26273,119.51141,7.4652157
216.661,119.24192,7.156828
219.88771,120.59994,6.755312
220.73128,119.87528,6.476473
220.5137,118.17222,6.2456875
222.50194,118.349976,5.897787
226.54158,120.297775,5.4422035
227.44736,119.55551,5.149475
227.90784,118.36031,4.871462
230.55733,118.42614,5.2364063
236.4754,120.99758,5.7068825
240.46487,122.04895,6.195141
249.99132,127.90273,6.2388725
256.3687,131.50864,6.2614346
207.01732,120.74893,9.232441
209.0784,121.24849,8.912622
211.96832,122.4214,8.546957
213.71365,122.61405,8.238037
215.17024,122.454315,7.9363575
218.38924,123.876816,7.544733
220.64694,124.40812,7.198221
219.51804,121.96737,7.0225563
223.17216,123.69793,6.598507
224.60104,123.49375,6.289585
224.74638,122.053535,6.0366135
229.8208,124.97355,5.5323544
230.66408,124.17564,5.244524
230.09692,122.02264,5.0186424
232.67287,122.80941,4.6412296
236.2215,123.86112,4.7478065
241.47255,125.87707,5.2371216
244.06215,125.61553,5.831211
253.20483,131.22333,5.9499435
258.91074,134.16446,6.023464
208.50554,122.18943,9.16448
212.31052,124.19634,8.75419
213.80862,124.189964,8.461283
217.04626,125.672806,8.075699
216.87865,124.12606,7.859108
220.71608,126.10165,7.436043
223.11255,126.78753,7.0845737
224.62775,126.5915,6.768154
227.3297,127.526695,6.3961067
229.55353,128.01013,6.045532
230.4474,127.20635,5.7522736
232.97382,127.98124,5.377016
234.41249,127.75977,5.049486
235.25497,126.99854,4.7390347
236.79262,126.76986,4.4092274
241.80447,129.14297,4.310196
244.89536,129.45438,4.824198
248.15425,129.78178,5.374769
255.73352,133.95663,5.683052
261.42435,136.89731,5.7464294
210.33638,123.90685,9.078558
211.91505,123.98868,8.784153
214.53572,125.02,8.4234295
218.48721,127.12563,8.004442
221.73878,128.55945,7.6151466
221.55095,127.09861,7.373583
225.461,129.11194,6.946066
226.8465,128.80019,6.643402
229.67924,129.872,6.2578373
232.51178,130.92232,5.8698635
234.11664,130.80325,5.5405197
236.38426,131.30296,5.1777344
237.86382,131.1175,4.8482647
238.9898,130.565,4.5291996
241.66042,131.33688,4.1433964
244.748,132.24802,3.9343836
248.29315,132.98422,4.414116
251.67108,133.41115,4.9615803
258.2548,136.61368,5.380089
263.25745,138.99716,5.513136
210.38072,124.07929,9.077759
212.89452,125.04926,8.71936
217.03725,127.36881,8.291565
219.13472,127.91204,7.9507294
222.351,129.34271,7.560665
224.02142,129.49617,7.230438
226.52731,130.31876,6.866974
229.40163,131.29562,6.493845
231.95378,132.17123,6.1161213
234.62544,133.0683,5.7380104
236.67487,133.36382,5.384367
238.4789,133.43375,5.0472126
240.35928,133.61575,4.696514
243.0984,134.48544,4.3076153
244.19154,133.9112,3.9853728
247.83406,135.47769,3.5613158
251.73857,136.57086,3.9945128
255.36052,137.22781,4.523094
261.835,140.31525,4.956089
265.2703,141.28186,5.26293
209.54999,123.52533,9.100813
214.18503,126.27711,8.653191
216.49434,127.08869,8.299067
221.62949,130.25755,7.8198986
222.70271,129.87889,7.521164
226.37302,131.71289,7.10771
227.33736,131.29105,6.801733
230.783,132.78014,6.39913
233.14828,133.47983,6.0325737
236.12546,134.66449,5.6375637
238.95207,135.65924,5.2441635
241.49791,136.39685,4.8688564
243.23376,136.43109,4.528187
244.77597,136.29715,4.1927147
246.15967,135.97952,3.85615
250.96776,138.55891,3.376774
254.99643,139.88385,3.6339133
257.92896,140.01175,4.162693
264.85956,143.49765,4.5740337
267.10468,143.38666,5.020687
211.30412,125.176186,9.010517
213.64752,126.00147,8.660368
216.71349,127.45106,8.272472
221.10025,129.99889,7.825964
223.07732,130.39267,7.4857407
227.02074,132.53711,7.0508366
230.86818,134.51381,6.6246223
232.01022,134.11732,6.313957
234.73701,135.1623,5.9267883
238.14342,136.67911,5.5162277
240.5875,137.41307,5.141039
242.71986,137.75786,4.781641
244.78035,138.08818,4.4242535
247.1979,138.7444,4.0435524
252.37679,141.62411,3.5433695
253.53008,141.11842,3.2225077
257.01294,142.15071,3.3154566
260.26935,142.53964,3.8389075
267.44067,146.267,4.2251434
273.0071,148.90134,4.584591
209.90349,124.11282,9.063412
213.3214,125.899895,8.658859
219.13599,129.72815,8.145821
220.63799,129.80836,7.828005
225.92542,133.0773,7.334963
227.37509,133.05864,7.0132847
231.87988,135.64297,6.5521717
234.54713,136.48672,6.1842194
235.39679,135.95647,5.8750057
240.13138,138.67618,5.39538
241.2961,138.22658,5.0818195
245.01329,140.0344,4.645046
247.80855,141.00069,4.2529163
250.86842,142.21603,3.8418162
254.35948,143.65443,3.4196856
256.4102,143.9761,3.05069
259.33694,144.71704,2.9678385
262.9061,145.35776,3.4865592
270.2059,149.22038,3.8564723
275.05493,151.17084,4.268654
210.3649,124.593605,9.040939
214.07193,126.64521,8.621271
217.2444,128.2203,8.224848
220.67836,129.99152,7.8126926
224.91475,132.37234,7.3672886
227.9298,133.73691,6.96887
231.51985,135.54915,6.549114
235.4039,137.56174,6.1101074
238.99185,139.2565,5.693783
239.13635,138.08344,5.4169292
242.70224,139.77133,4.982992
245.22897,140.49506,4.6093655
248.45403,141.88016,4.1916237
254.10785,145.25772,3.673052
255.89226,145.27512,3.3198454
258.41342,146.00833,2.9283316
260.8117,146.47757,2.690327
265.14462,147.80356,3.1643622
272.2726,151.5216,3.5404189
277.33206,153.66498,3.9299395
208.65388,123.24331,9.1172695
212.52768,125.442955,8.684217
217.07364,128.25124,8.2161045
221.72911,131.0469,7.755804
224.72913,132.39255,7.35989
230.0278,135.7395,6.858082
230.99484,135.30571,6.554764
235.78426,138.11797,6.071186
239.8087,140.23611,5.62858
243.49495,142.06253,5.19775
246.71059,143.44923,4.788517
250.16304,144.99216,4.361086
252.81123,145.8685,3.97201
255.83707,147.07266,3.56094
257.91187,147.33849,3.1945574
259.9531,147.66199,2.8254378
261.9831,147.93059,2.4579947
269.78036,152.1178,2.8365443
274.18338,153.67813,3.2359068
278.43814,155.0534,3.6853812
206.62062,121.58173,9.21203
213.24873,126.15481,8.649807
217.67032,128.89256,8.183027
220.8099,130.4325,7.7831573
223.49234,131.52454,7.400118
228.32188,134.42767,6.925068
233.82895,137.9201,6.412319
235.28343,137.82669,6.083647
239.60669,140.25339,5.6217346
244.18355,142.90927,5.1419487
247.09383,144.02733,4.74802
250.7331,145.74875,4.3101387
253.63493,146.8581,3.9075549
256.37723,147.79561,3.51277
259.0533,148.60999,3.1148436
261.87045,149.63129,2.7059634
263.39044,149.44696,2.3644774
271.34784,153.94972,2.5588496
275.5839,155.35623,2.9703333
279.8915,156.7775,3.4089377
