UTS,YS,EL
189.22922,102.03077,8.9482155
188.63994,101.093704,8.576309
188.15536,100.184395,8.142153
178.9939,92.55663,8.418532
182.18115,93.82818,8.202397
185.91064,95.18253,8.0476055
189.27768,96.27322,7.9234624
192.05809,96.842415,7.8621054
194.11078,96.822105,7.8697643
195.68736,96.45805,7.9147325
197.20041,96.11291,7.9552393
196.96718,94.20283,8.184425
198.6316,94.01096,8.206133
207.57458,99.39635,7.5721536
206.78157,97.07906,7.847794
205.80042,94.662544,8.133934
213.78908,99.19433,7.6016946
212.03775,96.127266,7.9649477
219.51909,100.322,7.4714727
186.09792,99.65286,9.252199
185.18123,98.46224,8.907953
178.89706,93.07345,8.959603
177.60274,91.579735,8.637345
179.92912,92.245735,8.387456
182.95212,93.07836,8.294223
186.1741,94.02024,8.188585
180.05002,87.685326,8.938822
191.5559,95.15612,8.059561
193.73335,95.38386,8.032395
196.27577,95.86996,7.974412
196.01306,93.99157,8.198786
196.13821,92.40156,8.389152
199.15195,93.20156,8.294213
205.65433,96.69576,7.8831706
204.50597,94.05168,8.198049
212.84122,98.98757,7.6155453
211.44362,96.14915,7.9527464
219.56592,100.97371,7.382547
188.19868,101.34313,9.148478
187.55238,100.35984,8.779495
183.44667,96.72535,8.724249
179.1119,92.814186,8.583475
181.97063,94.2412,8.14125
175.93861,87.76346,8.922238
179.71161,89.22907,8.750354
183.10341,90.3275,8.6223345
185.25659,90.625114,8.585486
187.88188,91.171326,8.521422
199.35497,98.595856,7.6468487
199.42946,97.052086,7.8303494
199.89743,95.80152,7.9792724
202.57932,96.27157,7.924656
209.06721,99.751495,7.5153475
208.20592,97.45502,7.786773
209.12646,96.519684,7.8974032
215.06589,99.41001,7.5599465
215.72876,98.260704,7.6962633
189.81721,102.6347,9.057159
186.06433,99.28866,8.987585
181.99783,95.61907,8.859254
184.17725,96.87093,8.31201
176.03764,89.66909,8.684864
180.04012,91.42809,8.477838
183.59831,92.64828,8.338659
187.93985,94.60609,8.108204
190.97859,95.531044,7.9987183
190.16017,93.29015,8.265054
192.13737,93.15729,8.283508
202.62659,100.018394,7.4715066
202.95064,98.68415,7.6297784
205.15305,98.55557,7.6501713
202.77838,95.169815,8.048398
211.86653,100.81388,7.3811207
210.28815,97.78216,7.7416105
218.49907,102.54471,7.18161
216.45747,99.278984,7.567408
192.63486,104.89208,8.906454
190.00752,102.45255,8.781456
186.58328,99.27918,8.600231
187.50778,99.509926,8.103461
