UTS,YS,EL
200.02646,109.16996,5.9947586
194.95363,105.57332,5.994437
192.7909,102.73155,6.2122765
193.8975,103.32174,6.244732
195.60837,103.25663,6.4577723
196.77016,102.69168,6.6891937
198.07877,102.3202,6.905736
199.39673,102.04104,7.1080027
200.59981,101.79442,7.291271
201.84145,101.66617,7.4593754
203.44504,101.86344,7.616026
204.45198,101.83228,7.74022
206.15796,102.097015,7.89773
207.67168,100.78342,8.295465
208.9294,101.06556,8.3971
210.37567,101.55296,8.486824
212.11479,100.516335,8.862988
214.83871,103.792786,8.502632
226.94508,109.89722,8.884637
201.17964,110.51654,5.906706
195.57307,106.785904,5.8656282
193.46945,105.04116,5.907692
194.81009,104.6625,6.1292152
196.15308,104.20097,6.3648195
197.42511,103.873314,6.5697412
198.64687,103.44682,6.78518
200.15793,105.02299,6.7011757
201.46748,103.10636,7.1752453
203.04298,103.182686,7.348727
204.71921,103.254684,7.53483
205.87231,103.368576,7.652132
207.0446,103.416695,7.7826576
208.76964,103.41049,7.9875603
210.24806,102.53818,8.307609
211.42618,102.80242,8.402817
212.60994,101.70163,8.706081
214.66583,104.43359,8.357795
226.6748,110.51871,8.727974
201.60321,110.7902,5.911171
196.03716,107.00684,5.883668
194.58815,105.66536,5.935911
195.38501,105.11789,6.121291
197.08046,104.70491,6.390465
198.15039,105.87301,6.3223095
199.5106,105.477196,6.5490017
200.82516,105.08365,6.769923
202.57907,105.345505,6.9335794
204.06949,105.25627,7.1245832
205.55708,103.47388,7.597335
206.90334,103.70747,7.7175198
208.2686,103.87437,7.8510656
209.80032,103.74751,8.05322
211.26868,102.86847,8.3732
212.78165,103.39656,8.4640255
212.89394,103.39253,8.425152
216.09087,104.89747,8.457604
225.02682,110.91367,8.432318
201.79456,110.86499,5.921324
197.14314,108.3393,5.79239
194.71947,106.07259,5.883585
196.57208,105.72681,6.160138
197.58067,106.28438,6.1864433
199.22833,106.13117,6.4066896
200.4718,105.66205,6.6318026
202.15703,105.440056,6.8679476
203.73564,105.36784,7.0665417
204.96092,105.677925,7.159689
206.15152,105.39452,7.3476105
208.14574,104.28917,7.767439
209.59033,104.55951,7.8931246
210.50946,103.94089,8.104814
212.21896,104.951996,8.138393
214.1045,103.96828,8.525117
213.77286,104.04936,8.418005
217.44595,105.39541,8.541672
225.1132,111.35286,8.358454
202.23322,111.10505,5.933172
197.81401,108.735,5.805752
195.6784,106.48427,5.9283285
197.07951,105.80132,6.207692
198.74377,106.70815,6.2533016
199.9081,106.09184,6.49358
201.61017,106.40682,6.6422577
203.11774,106.13206,6.8661995
204.3204,105.88351,7.049741
206.25027,106.23424,7.219384
207.55678,106.02031,7.4094296
208.90935,106.14438,7.548608
210.80943,105.01432,7.9614305
211.4306,104.43525,8.131314
213.75446,105.31764,8.258945
215.05878,104.31427,8.580253
215.12556,104.68897,8.476266
215.12862,106.12252,8.096226
226.47726,111.96063,8.421152
202.80217,111.39085,5.9528008
198.53313,109.53948,5.756713
196.42917,106.766594,5.9700203
197.96402,107.39343,6.046981
199.63406,106.90771,6.3252735
201.353,107.25166,6.471115
202.47418,106.70256,6.695099
204.04066,106.46142,6.9204016
205.77603,106.59834,7.1026773
206.87779,106.21547,7.296671
208.59636,106.47748,7.4561253
209.79564,106.56218,7.583748
211.64124,107.0797,7.715645
212.86937,105.25008,8.1656
214.58807,105.927734,8.255822
216.13512,106.474075,8.347635
216.70747,105.06498,8.617231
216.80139,106.74093,8.199166
227.89142,112.349594,8.533119
206.98373,115.013756,5.8434134
202.25336,112.4317,5.7145367
200.61794,110.17927,5.896512
202.83545,109.998276,6.188733
203.92366,110.88933,6.168892
205.75754,110.4525,6.458397
207.32124,110.45586,6.642639
208.8077,110.10749,6.8763466
211.14091,110.553925,7.077716
212.8931,110.85187,7.235155
213.36319,110.00344,7.4320564
215.82845,111.03683,7.5512447
217.69649,111.00551,7.777232
219.29553,110.30377,8.083117
221.08653,110.62614,8.2410755
222.45691,111.005356,8.339852
222.90082,109.697556,8.562902
220.80948,110.09748,8.088321
230.50447,114.88948,8.38547
210.07513,117.66624,5.766861
205.225,114.03812,5.7981033
204.23776,113.0678,5.8430824
206.37238,113.17803,6.07699
208.20796,112.90153,6.3399887
210.04343,114.47972,6.2939806
211.73209,113.882645,6.5930223
212.87923,113.66034,6.765627
215.4687,114.09737,6.99885
217.1616,114.52162,7.1282387
217.98152,113.77301,7.3498554
220.4568,114.86761,7.4600296
222.64748,113.80187,7.8964767
224.60457,114.38097,8.031293
226.41872,114.54826,8.217822
227.69278,115.25945,8.249908
227.62383,113.95406,8.386278
224.65442,113.789154,7.896105
231.77519,117.210625,8.102424
212.08899,118.9938,5.7836914
207.7218,116.522064,5.6793585
207.5852,115.29857,5.8670454
209.51791,116.276405,5.9325523
211.22699,115.92083,6.1937714
213.81125,116.39354,6.42043
214.9455,117.299164,6.4036036
216.70851,117.34661,6.6040525
219.43085,117.63402,6.877903
221.34021,118.35937,6.98271
222.79773,119.074196,7.0358744
224.61014,118.68804,7.3143997
226.98232,117.67228,7.7639723
228.8807,118.24932,7.892192
230.52576,118.66869,8.016743
232.32552,119.30661,8.12316
231.2795,118.18778,8.070708
228.68515,117.76424,7.6815796
231.72394,118.91014,7.7652016
214.65503,121.700096,5.6360855
210.59602,119.58728,5.508375
209.50723,117.81278,5.675331
211.99512,118.96276,5.777766
213.63913,118.84592,5.9915266
216.42758,119.33073,6.240302
218.55737,119.39853,6.480708
219.8108,120.52194,6.44168
222.67734,120.72763,6.746187
224.89212,121.526825,6.8747883
226.00244,121.35157,7.035206
229.24728,121.064255,7.4665527
230.95103,121.37207,7.61662
231.47543,120.66754,7.795967
234.83911,122.46357,7.8942785
236.94055,122.977615,8.045629
235.35416,122.03929,7.885051
232.0385,121.321,7.4566326
