UTS,YS,EL
210.55025,114.19118,8.6903715
210.40518,113.20051,8.438709
210.545,112.33815,8.12754
204.69434,107.70388,8.285681
204.13503,106.42726,8.079145
203.23193,104.98264,7.8361483
202.11281,103.45889,7.6050377
200.40213,101.50682,7.4150505
198.02124,99.06906,7.2793665
196.49687,97.014336,7.2609253
197.19049,96.21147,7.3782816
196.05324,93.9923,7.6338778
196.907,93.334145,7.735463
205.33453,97.4115,7.4636374
203.59741,94.85879,7.73956
201.65369,92.23756,8.014236
209.06009,95.54782,7.8132505
206.2915,92.35118,8.137697
213.18277,95.39595,7.9526787
208.20276,112.75765,8.907218
207.83676,111.628845,8.673346
203.93481,108.23395,8.686249
203.2908,106.9041,8.468988
202.74557,105.63172,8.227329
201.39568,103.95728,8.020357
200.09175,102.28173,7.8017874
191.23247,95.55367,8.225399
196.65833,98.432076,7.430746
194.59296,96.31388,7.277135
196.27797,96.18848,7.3274927
195.11519,94.01732,7.5731535
194.34816,92.088264,7.7996273
196.5788,92.25764,7.8372335
202.47565,94.72239,7.696045
200.35318,91.87063,8.000447
208.13011,95.57689,7.752364
205.7358,92.560875,8.067956
213.2975,96.1908,7.820712
209.35445,113.53128,8.865007
209.18242,112.522606,8.614169
206.47777,109.95732,8.57885
204.03065,107.42545,8.459264
205.12553,107.5394,8.059568
196.25957,100.71487,8.483516
195.49525,99.44689,8.223959
194.26007,97.814,7.993312
192.37088,95.88574,7.8356085
190.60158,93.94009,7.653433
199.5342,98.648125,7.093642
198.7317,96.791405,7.3059845
198.33102,95.181076,7.498768
200.20723,95.04016,7.569334
206.09084,97.49224,7.42962
204.28204,94.98637,7.692379
204.29332,93.63319,7.86063
209.57158,95.52154,7.7814064
209.32297,93.98114,7.96737
210.29326,114.151886,8.8204155
207.77478,111.698105,8.785095
205.41182,109.284065,8.677088
207.21672,109.960144,8.231824
200.69672,104.7015,8.453772
200.41957,103.872375,8.1684885
199.41063,102.401924,7.9260426
199.23744,101.605354,7.617901
197.92932,100.01295,7.403905
193.16792,95.96354,7.468622
192.01665,94.06987,7.4411745
202.12218,99.5129,7.034281
201.56696,97.839455,7.2286797
202.92604,97.101326,7.3727884
199.55548,93.69828,7.6990566
208.1544,98.05381,7.389121
205.55717,94.85467,7.723522
213.20891,98.38136,7.5004835
210.13945,95.02806,7.8337393
211.8824,115.21602,8.751003
210.21446,113.63473,8.61778
208.3323,111.56664,8.463661
209.3987,111.59992,8.065361
204.56075,107.68655,8.167298
203.92221,106.45539,7.895563
201.78305,104.37365,7.766551
200.97777,103.09283,7.5063705
198.60788,100.66296,7.3699226
197.0855,99.02552,7.1827736
196.02293,97.256905,7.1250687
195.86061,95.813576,7.3036766
205.54027,100.92388,6.928733
205.10587,98.90823,7.1882944
205.69077,98.30772,7.262368
211.33382,100.51527,7.1504545
208.60216,97.34322,7.4717484
206.6172,94.61027,7.7625265
214.31458,98.428734,7.4905014
214.45354,117.24801,8.565577
209.07004,112.96813,8.729565
210.80142,113.4779,8.281472
206.786,110.10956,8.318743
208.06682,110.341484,7.9018908
205.99619,108.3249,7.7724094
204.75401,106.65892,7.5463514
204.08464,105.49115,7.2759
202.64941,103.862755,7.0792446
200.25554,101.36874,6.936759
199.0281,99.64295,6.888877
198.27467,97.754875,7.109722
198.47482,96.739914,7.2343607
208.24745,101.55602,6.9144516
206.77219,99.37204,7.14172
205.0418,96.933174,7.397381
213.05031,100.73379,7.1485987
211.08884,98.12667,7.4168587
218.40234,101.53633,7.1934156
218.59453,121.341606,8.360453
216.02397,119.01652,8.289762
216.54788,118.70895,7.9456015
219.42589,120.228065,7.4221478
211.86674,114.292015,7.7366257
213.7194,114.961075,7.2761974
212.25969,113.29202,7.08506
211.67348,112.15433,6.805356
211.81157,111.78178,6.495535
209.65712,109.66004,6.3563423
205.93436,106.031425,6.2938128
205.53178,105.04804,6.270668
208.88367,106.06197,6.230303
214.40503,108.31559,6.102805
215.26738,107.66523,6.202305
213.53485,105.14887,6.4715853
222.10165,109.43385,6.1717243
220.36656,107.02158,6.4195194
227.8772,110.52783,6.191202
221.7267,124.414024,8.204077
225.32115,126.466255,7.63134
221.77544,123.40998,7.63237
223.00377,123.78675,7.2476997
224.21251,124.02485,6.8442297
217.31757,118.778694,7.128065
219.04852,119.30178,6.669013
216.28534,116.58721,6.5637455
217.70506,117.160866,6.153593
214.73735,114.473915,6.082468
212.28445,111.81667,5.9236946
210.0354,109.838005,5.8116293
219.79048,115.253975,5.28008
220.03867,114.25831,5.4023266
221.88747,114.2499,5.4491167
217.82127,110.19767,5.846634
226.83876,114.87258,5.5056295
225.48088,112.71406,5.7318926
233.81636,117.010475,5.414776
227.57469,129.20978,7.804199
226.87051,128.3284,7.592325
228.61018,129.12178,7.175997
225.03932,126.18426,7.1905346
225.98174,126.20171,6.805825
227.59222,126.950264,6.3945265
220.07845,121.04347,6.7022057
219.13972,119.756996,6.46301
221.85919,121.25279,5.946865
218.66,118.47947,5.904088
213.03642,113.88848,6.040906
213.9203,113.81002,5.636223
221.41447,118.20385,4.861768
221.52232,117.13681,4.989662
220.94275,115.45626,5.1813736
220.05794,113.67359,5.3732834
227.9359,117.67274,5.0802116
228.48814,116.78324,5.201353
235.86523,120.31225,4.9608793
225.26476,128.15213,8.059507
224.59625,127.400536,7.857456
227.2206,128.81305,7.3679714
225.61183,127.37797,7.2352734
225.22156,126.47689,6.9624634
227.77556,127.92788,6.4781265
228.79695,128.11562,6.0958595
220.66824,121.80117,6.449335
224.4468,124.05785,5.848364
222.4196,122.17401,5.7167664
218.92561,118.90749,5.658412
226.47731,123.80784,4.7409897
223.78024,121.26834,4.635748
221.82294,118.441536,4.7783403
222.87672,118.59905,4.748
225.68079,119.45502,4.7004786
231.46509,122.05672,4.52584
230.2284,119.747635,4.7877903
238.68318,124.35813,4.422904
225.55396,128.9423,8.102646
229.83652,131.66034,7.4947624
227.92804,129.97763,7.387146
230.6374,131.56223,6.8998375
225.22319,127.20089,7.0460873
228.85513,129.50351,6.482935
229.45818,129.52107,6.1494446
229.64903,128.90599,5.8051147
230.4008,129.09966,5.461401
230.39883,128.66469,5.1656103
229.1173,126.92852,4.9227505
228.60655,126.30225,4.682171
226.53316,124.34379,4.541915
222.54417,121.03016,4.5497313
223.42357,120.67427,4.4179325
233.79346,126.48461,3.9604464
232.4035,124.36271,4.1809616
231.7917,122.62811,4.3782005
240.41554,127.38297,3.9983368
227.70726,130.91582,7.981699
225.92072,129.34813,7.869272
225.8413,129.13177,7.6306114
230.06108,131.84854,7.0272408
232.97725,133.52092,6.5096893
226.48294,128.52351,6.7589874
230.35252,130.97414,6.1716537
229.98524,130.0064,5.877405
230.91685,130.34569,5.5216465
231.82315,130.65732,5.163003
230.86198,129.39265,4.922021
230.887,128.95663,4.6164923
228.87875,127.05268,4.4712944
226.15932,124.56486,4.367751
227.4714,124.96937,3.9418402
233.53264,127.85119,3.7059746
232.79254,126.29322,3.8668556
232.55779,124.8122,4.042588
241.20886,129.58803,3.6607323
225.23424,129.57828,8.231487
224.82948,129.14444,8.023439
229.12747,131.999,7.426897
228.16795,131.0567,7.245268
230.64638,132.47041,6.7703705
228.23112,130.50435,6.701088
228.59752,130.42926,6.396448
231.6067,131.94894,5.8369637
231.15404,131.40079,5.6045055
231.9697,131.59862,5.2483816
231.56242,130.82254,4.9731026
231.02333,129.88548,4.7028656
229.63544,128.48813,4.51528
230.79591,128.85007,4.1116304
227.6245,126.08384,4.0470924
233.21262,129.23857,3.4439888
233.0556,128.18578,3.551632
233.16449,127.002464,3.6960554
241.88605,131.76375,3.321062
220.9242,126.840706,8.6204815
226.52399,130.63467,7.9220886
225.15459,129.56763,7.796774
231.47685,133.93645,7.0401993
228.05544,131.17172,7.0446815
231.3449,133.21977,6.509552
226.45644,129.56775,6.647524
230.4675,131.87538,6.0149956
229.88611,131.1809,5.787985
231.0436,131.69337,5.412135
231.97029,131.97704,5.040289
232.70518,132.05019,4.6779976
231.38542,130.63492,4.4778023
229.36346,128.73605,4.33403
226.77547,126.41276,4.2252636
233.77197,130.86662,3.3385963
234.47115,130.5784,3.2185564
232.02888,127.741646,3.4986591
241.79497,133.26859,3.0526009
223.34235,128.92336,8.468939
222.55632,128.20836,8.291527
223.16844,128.55492,8.005262
227.39967,131.45349,7.4211464
226.1884,130.28949,7.248892
228.94797,132.14899,6.7784443
232.46222,134.37424,6.224352
229.24838,131.697,6.1947403
228.95857,131.31337,5.9548264
231.73438,132.90431,5.439518
231.2561,132.27248,5.1969967
