UTS,YS,EL
209.5094,112.64158,9.153336
209.47017,111.93496,8.835325
209.6374,111.21911,8.478916
203.32964,106.3141,8.596874
202.94093,105.454605,8.300169
201.95567,104.02732,8.022625
200.7173,102.46419,7.764295
198.8543,100.46415,7.541469
196.64832,98.13526,7.3996596
197.57594,97.45434,7.509134
198.54654,97.02929,7.5652785
197.79579,95.466225,7.6943107
198.9045,95.14802,7.7417693
207.80415,99.14218,7.6119094
206.39749,97.24092,7.7485023
204.73738,95.23957,7.8826003
212.64687,98.59387,7.78865
210.16374,96.09379,7.9473147
217.51346,99.177795,7.859676
207.06013,111.18212,9.353342
206.77803,110.31702,9.053774
202.59367,106.81311,9.021435
202.02855,105.75796,8.733765
201.53804,104.714134,8.429024
200.0565,102.99691,8.193041
198.62059,101.27797,7.9454513
189.26173,94.426,8.275589
194.89117,97.3375,7.509231
195.23743,96.50118,7.5011115
197.28714,96.707306,7.5268703
196.47269,95.15278,7.6495166
196.06409,93.81815,7.762901
198.59485,94.26082,7.7799144
204.91267,96.806114,7.713094
203.13893,94.66065,7.8644176
211.33308,98.28502,7.743831
209.26741,95.97974,7.8997016
217.20938,99.50519,7.7782454
208.45201,112.270836,9.276932
208.37672,111.53409,8.961092
205.62779,109.16181,8.8495655
202.9753,106.56345,8.690882
204.08144,106.67457,8.284306
194.6987,99.71584,8.614319
193.83517,98.41387,8.330713
192.47047,96.73781,8.071251
190.44261,94.77264,7.880548
188.80548,93.1634,7.608196
200.39406,98.7186,7.4050975
199.89822,97.40158,7.5096126
199.81429,96.3082,7.604671
202.03229,96.51695,7.6396537
208.33934,99.05332,7.573648
206.80052,97.14051,7.701282
207.11029,96.25722,7.782701
212.89018,98.37177,7.749353
212.9509,97.334625,7.840055
209.55443,113.09706,9.211679
207.04309,110.91053,9.091089
204.5136,108.4789,8.939116
206.37804,109.167694,8.49412
199.45517,103.79974,8.641998
199.11954,102.95162,8.33799
197.9926,101.44044,8.069048
197.76201,100.62402,7.7422614
196.33586,98.996544,7.499725
191.26466,94.86135,7.505157
192.57661,94.47208,7.566051
