UTS,YS,EL
207.56204,114.02447,9.067742
208.97882,114.02522,8.749984
211.10876,114.356865,8.377376
202.58434,107.300354,8.695254
203.20682,106.81988,8.418778
203.33789,105.793175,8.1681795
202.96945,104.44958,7.9479017
201.65042,102.4049,7.7828093
199.26923,99.58221,7.6866484
196.16043,96.24838,7.635257
192.98419,92.94897,7.5846634
189.6402,89.13264,7.840851
191.29199,88.86357,8.02582
203.55351,95.81528,7.6093216
201.70331,92.89393,8.041101
199.90659,90.37514,8.394895
211.33624,97.09194,7.952487
208.89459,94.47814,8.26889
219.56425,100.72712,7.860915
203.19913,111.14413,9.357802
204.21129,110.86619,9.06623
199.11095,106.21606,9.1645975
199.66882,105.606606,8.895583
200.43817,105.09611,8.605714
199.66347,103.47923,8.415233
199.04965,101.93278,8.2102785
185.62982,91.585205,8.825283
196.2386,97.79463,7.8939295
194.13818,95.28484,7.780308
192.43198,93.037605,7.634905
188.01909,88.62139,7.8283443
187.52518,86.64382,8.178834
191.11938,87.656975,8.261657
199.84778,92.178276,8.0498
197.73099,89.22204,8.464109
209.53398,96.29424,7.984576
207.64551,94.0159,8.2766
219.1052,100.896996,7.809247
204.9675,112.587105,9.248427
206.33905,112.550545,8.93341
203.0487,109.384224,8.919681
200.69962,106.54184,8.834939
203.75891,107.75756,8.39902
190.35481,97.23857,9.027698
190.5486,96.304794,8.771331
190.04112,94.82531,8.553124
188.09465,92.50791,8.435437
186.60295,90.393936,8.283149
197.16086,96.64933,7.3345594
192.82457,92.39315,7.467187
192.79816,90.82105,7.7757616
195.94113,91.44088,7.899373
204.6518,95.94652,7.6891537
202.6545,93.011055,8.114434
203.86371,92.82013,8.240613
212.43881,97.57787,7.960162
213.395,97.279205,8.086169
206.4672,113.75765,9.154439
203.48729,110.84664,9.125176
201.10794,108.0864,9.048501
205.195,110.11649,8.554084
195.832,102.39696,8.91912
196.59863,101.99143,8.631927
196.46362,100.788414,8.395755
197.4819,100.50782,8.081773
196.64207,98.896515,7.8889055
190.23325,93.25692,8.0543165
187.51599,90.13106,7.971281
197.276,96.00848,7.1114244
197.01776,94.30843,7.4276314
199.56975,94.26275,7.6311903
195.34451,89.88961,8.168735
207.759,97.11251,7.713998
205.22603,94.01328,8.121653
216.94162,100.96099,7.6569567
214.05579,98.07336,7.993907
208.9666,115.745865,8.998725
206.92308,113.601845,8.911538
205.33272,111.38819,8.783116
208.50961,112.62013,8.343751
201.50531,106.784325,8.561269
202.02516,106.030785,8.284791
199.6098,103.40501,8.202828
199.6831,102.40152,7.9486265
197.31967,99.59188,7.8514395
195.87045,97.66537,7.6989355
193.48322,94.80956,7.593815
189.13931,90.62457,7.621909
202.27786,98.47483,7.0256605
202.39844,96.62117,7.3941593
203.55334,96.22907,7.5700808
211.96875,100.44204,7.3931246
208.91904,96.85535,7.862159
207.5694,94.95388,8.122382
219.12567,101.96797,7.638856
212.63373,118.64115,8.769284
204.70206,112.17638,9.0604105
208.94737,114.1894,8.555514
203.37405,109.34783,8.685208
206.77489,110.79179,8.226882
204.4284,108.2396,8.143525
203.98239,106.77833,7.9266996
204.25363,105.93261,7.660651
203.06583,104.13772,7.4919424
200.76813,101.31836,7.3861074
197.98853,98.33869,7.310562
192.76271,93.48144,7.3935127
192.26262,91.876976,7.555794
206.45749,100.04769,7.0466413
204.86768,97.50361,7.4283924
202.97647,94.65578,7.844878
214.65106,101.19523,7.4641333
213.10947,99.1148,7.7496023
224.27625,105.76031,7.304452
216.54662,122.84376,8.555207
213.28482,119.69892,8.543513
215.46606,120.272026,8.173272
221.09863,123.51447,7.5819674
209.89018,114.53822,8.067878
214.14413,116.63448,7.555192
212.98245,114.835884,7.3897943
213.44888,114.09959,7.11016
214.48654,114.07417,6.8025675
212.09239,111.42475,6.7098417
208.09128,107.142426,6.7013636
205.38185,104.49853,6.63083
205.83853,103.82789,6.34459
213.70032,107.803955,6.1415834
215.3115,107.49981,6.3277044
213.42584,104.582184,6.755372
225.81364,111.73876,6.3109255
223.89786,108.890976,6.7272806
234.8605,114.959175,6.385186
219.58047,126.04597,8.390105
226.31747,130.122,7.7336855
221.55748,125.84742,7.813857
224.42921,127.13505,7.401395
227.56723,128.4601,6.9622335
216.92395,120.14697,7.418969
221.10188,122.120094,6.9061346
218.11356,118.852455,6.8488493
221.13739,120.305405,6.4139814
217.39812,116.69894,6.409013
215.29784,113.86941,6.2803755
212.2264,110.97916,6.2335234
222.87311,117.557915,5.2891073
220.49187,114.77569,5.347476
223.47968,115.4372,5.451226
218.26715,110.172485,6.076663
231.29408,117.87229,5.5802355
229.81863,115.33712,5.9648657
241.84698,122.39648,5.5176992
227.51059,132.5421,7.902955
226.99153,131.51555,7.7163305
230.57408,133.38242,7.263818
225.4446,128.99864,7.369132
228.21991,130.0264,6.9523478
231.46696,131.69698,6.513213
220.32951,122.76731,6.9914637
219.97643,121.56077,6.768115
225.11356,124.538216,6.19715
220.80399,120.61475,6.23162
212.7866,113.89288,6.4956827
215.5802,114.851585,6.059308
