UTS,YS,EL
194.6389,103.17401,10.021559
196.44962,103.325325,9.57243
198.10098,103.07745,9.11694
198.31596,103.07039,8.76207
200.3804,103.59977,8.285706
201.96776,103.59044,7.8262157
203.60014,103.7124,7.3625946
204.56758,103.474594,7.0124702
203.32079,101.901505,7.0900335
202.05606,100.391106,7.1585855
201.0552,99.18967,7.2068768
199.3826,97.54058,7.2642546
198.48917,96.43179,7.308571
197.80971,94.34247,7.483902
196.27649,92.941895,7.5199823
195.762,92.30983,7.5449495
212.33086,100.09573,7.9913034
221.4197,104.6166,8.227988
237.40665,112.15668,8.678398
194.2851,103.616875,10.061914
196.04904,103.78287,9.616917
196.76276,103.763306,9.231388
198.54753,103.98701,8.775301
200.37022,104.160355,8.305672
201.90721,104.26796,7.8537006
203.43338,104.30298,7.395014
203.20245,104.61957,7.0567513
204.05069,103.120285,6.992958
203.14609,101.907974,7.049823
202.28033,100.68306,7.109913
200.75183,99.19684,7.1574144
199.23883,97.664314,7.211194
198.35875,96.35014,7.2800245
197.53502,94.505714,7.4168425
195.87193,93.02548,7.45354
210.9522,99.86577,7.8969965
220.3755,104.49788,8.148143
236.69675,112.27922,8.591117
194.97989,104.170975,10.030596
196.77394,104.30711,9.582531
198.2157,104.87886,9.162863
199.13351,104.55648,8.752321
201.57324,105.071335,8.249077
201.02165,105.00417,7.936857
202.78004,105.175545,7.4657364
204.42133,105.27711,6.9916553
204.73897,104.92857,6.8222017
203.7766,103.57863,6.8916855
203.32861,101.31037,7.1047983
202.01486,100.00197,7.1453238
200.71745,98.64721,7.192191
199.62347,97.1552,7.2680693
198.79227,95.30369,7.40524
197.48236,94.160835,7.425087
207.69643,98.76886,7.7580576
222.60867,105.77229,8.165737
233.53528,111.120056,8.46534
195.4564,104.4942,10.007828
196.95786,105.11715,9.591461
198.02242,105.02698,9.183077
200.70886,105.71772,8.676571
200.73326,105.58073,8.321869
202.77997,106.04877,7.8443165
204.40506,106.11023,7.379696
206.55142,106.56842,6.8802853
206.25858,105.63385,6.8391094
204.82204,104.33932,6.8704166
203.45023,102.649734,6.952424
203.46799,101.05468,7.1162624
202.23126,99.79486,7.1558094
200.50613,97.68913,7.2631083
199.32564,96.93852,7.2449303
199.34697,95.41286,7.407942
208.144,99.20843,7.7338343
224.66891,106.98672,8.176196
233.5411,111.43505,8.417297
196.32506,105.13613,9.966444
198.19984,106.062355,9.5324955
199.38202,105.96097,9.115587
201.59448,106.212296,8.62981
202.46828,106.712204,8.233725
204.1326,106.71368,7.7692738
205.73158,107.22598,7.3205585
207.60721,107.517075,6.8356285
206.87982,106.26801,6.804743
206.34576,105.40695,6.8442554
205.09946,103.82013,6.922333
203.83202,102.45946,6.9722004
203.70578,100.7743,7.1369514
201.57253,98.509735,7.2360916
201.23346,98.05144,7.238946
201.20494,96.52468,7.413947
209.86507,100.36616,7.720042
219.46065,104.99876,7.988304
235.78833,112.84923,8.4164095
197.5623,106.024475,9.906185
198.10349,106.39578,9.5513935
200.49533,106.69412,9.0597515
201.47871,107.097206,8.662523
203.94638,107.58196,8.156181
205.56549,108.1284,7.711418
207.05682,108.07655,7.2536316
208.98965,108.41371,6.7656307
208.5626,107.51263,6.767995
207.2,105.78706,6.8557644
206.32875,104.688095,6.900467
204.87408,103.21655,6.951144
204.08025,102.32289,6.9763775
203.20404,99.799416,7.1905622
202.15321,98.885,7.2006216
200.87389,97.76645,7.2196045
212.28906,101.72966,7.7402544
222.00526,106.49832,8.001418
238.21283,114.19614,8.442787
201.14157,109.97308,9.772623
202.52112,110.49394,9.36228
204.59874,110.799194,8.893965
207.78969,111.843,8.362471
207.60301,111.79964,8.02611
210.32217,112.439575,7.505968
212.02673,112.82332,7.046427
213.93936,113.08864,6.558214
214.29153,112.76433,6.521351
213.54887,111.77507,6.5623207
211.43672,109.37539,6.680067
211.31659,109.14237,6.671418
210.7416,107.98047,6.743307
209.99414,106.27727,6.8679905
209.13373,105.205185,6.9095907
207.68947,103.9025,6.9396524
217.45203,107.15235,7.3927727
226.8053,111.390114,7.7047644
241.99219,117.60417,8.283597
204.44771,113.01985,9.710367
207.15067,113.98476,9.143595
208.1947,114.33306,8.746574
210.91577,115.31471,8.247086
213.47119,115.970314,7.740633
213.90794,116.64692,7.38097
216.53476,117.14209,6.8591404
217.66652,117.088425,6.4175453
218.80287,117.18972,6.2924967
217.94402,116.233955,6.3217773
216.24736,114.08698,6.4369555
216.13174,113.89996,6.4231367
216.37227,112.42563,6.5871077
215.61752,111.56551,6.610054
214.85161,110.43495,6.6649685
213.17722,109.25296,6.6652994
219.95607,111.10337,7.017123
229.54236,115.428505,7.3380003
244.85971,121.68138,7.920869
206.86069,115.368484,9.538864
209.10493,116.45586,9.080891
212.02997,117.602936,8.578056
213.3728,118.397,8.167801
215.78557,118.93506,7.6683655
218.90878,120.32109,7.1429214
218.78175,120.31117,6.7988987
220.77477,120.85267,6.313551
222.82681,121.38813,6.058381
222.15837,120.7224,6.0656624
220.81725,119.7209,6.067502
220.3278,118.37072,6.167944
220.78595,117.02774,6.3307304
220.03372,116.18976,6.351866
218.9004,115.04424,6.383486
217.92862,114.128235,6.398778
220.45802,114.118774,6.5948963
230.98141,118.70461,6.964366
245.72577,124.5846,7.5440283
210.54367,117.7184,9.720682
209.64441,118.300964,9.101362
212.84212,119.509254,8.580975
215.04672,120.842064,8.125774
217.06604,121.32296,7.653034
220.56464,122.90646,7.1069336
223.27296,123.83694,6.5926533
223.07623,123.905106,6.245867
226.06682,124.93615,5.84991
225.77661,124.49166,5.855914
224.27777,122.82121,5.9272833
225.66785,122.3978,6.042389
224.78114,121.32721,6.0827084
222.58603,118.956314,6.1905527
223.3087,119.592926,6.1331816
223.1868,119.018616,6.1641865
222.91129,117.795006,6.2620535
231.65953,121.35415,6.6148367
247.02965,127.95053,7.140486
213.72575,119.99269,9.787151
212.32649,120.419624,8.980509
214.31793,121.58334,8.541496
217.80719,123.176895,8.006872
218.41287,123.49959,7.626343
222.42743,125.45088,7.0540867
225.23189,126.71881,6.5438194
227.35745,126.98871,6.0421104
229.45541,127.93733,5.7171364
229.55257,127.54166,5.743112
228.34192,125.74736,5.848501
228.86555,125.99401,5.8253984
228.48936,125.43407,5.838627
227.81873,124.90805,5.82725
227.22617,123.82409,5.888195
227.77896,122.774254,6.021435
226.77162,121.89568,6.0296726
232.21494,124.002975,6.253504
247.68253,130.67763,6.7763033
215.7718,121.65488,9.759367
211.90201,121.42733,9.044725
214.80206,123.274155,8.561293
218.9093,125.20922,7.993082
222.44633,126.710556,7.4425163
222.96078,127.33475,7.077368
227.0563,129.27864,6.4952545
229.06842,129.6131,6.0036964
232.06015,131.13821,5.507913
232.61086,131.11919,5.5190024
232.15767,130.21701,5.5681343
232.23138,129.77411,5.5975966
231.87996,129.23509,5.6099668
231.22662,128.44917,5.630878
231.37172,127.79402,5.689644
231.22389,126.611206,5.7921886
230.57921,126.030624,5.7889347
232.2963,126.26246,5.906948
247.77281,132.9416,6.429882
218.63957,123.36089,9.933834
215.23422,123.667336,9.171217
216.8273,125.17608,8.481066
219.29797,126.66525,8.012321
222.792,128.28418,7.4693985
224.89517,129.72128,7.0148106
227.77121,131.20135,6.5067177
231.06967,132.15492,5.9420147
233.96161,133.93665,5.4325676
235.01651,134.15251,5.316598
234.93538,133.60144,5.348503
234.6254,132.79317,5.3961725
234.58609,132.51016,5.3987103
234.87215,132.07463,5.4408894
234.26648,131.44603,5.4458876
234.77089,130.57805,5.554184
234.45988,130.27092,5.540454
233.55676,129.26567,5.56981
247.7739,135.23201,6.070737
221.38852,124.75894,10.180571
216.50465,124.72058,9.14505
216.21677,125.92326,8.5508175
221.3196,128.55655,7.9330616
222.92303,129.63068,7.504572
226.79816,131.51085,6.941622
228.26791,132.94623,6.5282974
232.0496,134.24081,5.9392433
234.79938,135.84857,5.435602
236.99132,136.87277,5.122982
237.46321,136.73395,5.1423845
237.68477,136.32051,5.178198
237.46782,135.79674,5.197755
237.17801,135.33102,5.2052402
236.76117,134.81317,5.209565
237.95602,134.2431,5.3282166
237.87584,133.81143,5.344763
236.77771,133.00096,5.337866
247.31604,137.14502,5.7260046
222.93231,126.092865,10.131523
219.56621,126.37643,9.386385
216.27454,126.895004,8.579462
220.71227,129.35706,8.004417
223.10269,130.75058,7.5294304
227.16206,133.14935,6.969368
231.20207,135.14987,6.3938084
232.90974,136.17184,5.9409676
235.93715,138.10977,5.4272976
239.14868,139.47466,4.955676
239.58551,139.60812,4.940731
239.51161,139.00377,4.979205
239.53754,138.67854,4.991194
239.88333,138.69302,4.983552
241.2728,138.18811,5.106988
240.70248,137.54553,5.1164284
240.64827,137.17723,5.1271563
239.67778,136.33627,5.132413
246.4941,138.75839,5.392679
225.47043,127.213394,10.415663
222.45871,127.984985,9.599541
218.45163,128.78568,8.513636
220.1445,130.24136,8.075306
225.39682,132.96475,7.440712
227.30812,134.40141,7.000675
231.87827,136.88043,6.4019737
234.97504,137.98141,5.857334
236.34302,139.51077,5.445629
241.15189,142.027,4.8181515
240.79941,141.52834,4.7916503
241.91544,141.85017,4.7990894
242.36835,141.69753,4.8188734
243.09543,141.89067,4.8152494
243.57571,141.12456,4.909444
243.72118,141.11723,4.890558
243.70702,140.82649,4.894679
242.85747,139.94788,4.9125195
245.69003,140.48744,5.0430994
226.36896,127.825714,10.439751
223.53021,128.77408,9.609362
220.69623,129.60286,8.822256
220.0715,131.00089,8.107048
224.40207,133.3974,7.528883
227.63312,135.63567,7.0189095
231.40273,137.83334,6.4693832
235.45857,140.08252,5.8909073
239.30957,141.83696,5.3134613
240.09732,142.98273,4.9277935
242.82788,144.4696,4.5751877
243.03763,144.03807,4.612465
243.92056,144.3743,4.6024046
245.77533,144.33534,4.7020235
245.53665,143.7768,4.723152
245.96957,143.91588,4.705901
246.03835,143.82614,4.691517
245.71162,143.28911,4.703309
246.79999,142.97423,4.7836275
229.81438,129.72607,10.63789
225.84238,129.7253,9.891302
223.53946,131.22308,9.018776
220.87112,132.05469,8.090214
224.09964,134.22945,7.5796623
229.30702,137.34216,6.9597664
230.79288,138.6763,6.5432777
235.61722,141.38867,5.923992
239.81152,143.58229,5.335129
243.7074,145.72278,4.7623425
245.76404,146.67259,4.5084095
246.66437,146.82162,4.521674
247.17215,146.9362,4.5131626
247.94533,147.25267,4.4979067
247.86186,146.7306,4.525033
248.03491,146.78656,4.500451
248.06818,146.57649,4.498101
249.2562,145.89885,4.6279945
249.44048,146.18002,4.576438
233.57173,131.93237,10.775787
226.75723,130.41417,9.893576
225.08463,132.24997,9.072004
222.42323,133.1972,8.293854
222.87541,134.73457,7.6868706
227.71042,137.43806,7.0814686
233.12419,140.54315,6.4423046
235.07622,141.86493,5.9815693
239.49255,144.44531,5.3892174
244.11398,147.27948,4.7856903
246.87718,148.67416,4.343458
247.94724,149.00694,4.3460627
248.65485,149.28525,4.3312836
249.17653,149.34622,4.32987
249.54979,149.20053,4.342387
250.27509,149.66882,4.305237
249.96326,149.21338,4.3093233
251.60526,148.86612,4.4299126
251.65977,149.03725,4.382902
