UTS,YS,EL
208.46376,114.05181,8.34384
208.49501,112.98923,8.153277
208.82784,112.050186,7.8973684
203.28827,107.43668,8.116224
202.9045,106.08769,7.9808426
202.14084,104.43749,7.8237514
201.2097,102.77541,7.6654277
199.7994,100.852806,7.5190887
197.71295,98.42974,7.4333124
195.19774,95.706825,7.3860903
192.99777,93.24434,7.350713
193.17546,91.65457,7.730464
195.10928,91.53041,7.9240913
203.68813,95.77918,7.6158667
203.37614,93.90044,8.03007
202.89705,91.97003,8.44735
210.61761,95.51888,8.231134
209.92174,93.689255,8.619019
217.81992,97.81589,8.301952
206.13963,112.65473,8.567703
205.94849,111.45459,8.394823
202.31488,108.049194,8.467394
201.85732,106.651276,8.314277
201.48431,105.268906,8.143928
200.24168,103.3329,8.034581
199.13817,101.5336,7.8869467
190.7031,94.98888,8.366181
196.29886,97.739136,7.6044073
194.52907,95.64114,7.499695
192.98755,93.69111,7.3668814
192.35265,91.71379,7.688417
192.86629,90.40073,8.034002
196.0432,91.055435,8.143316
202.39195,93.807724,8.008172
201.7542,91.655594,8.458021
209.80078,95.581085,8.188789
209.32637,93.77817,8.582162
217.71365,98.32811,8.210869
207.22774,113.40042,8.534186
207.2307,112.31891,8.343996
204.71437,109.67798,8.38483
202.54196,107.14793,8.314647
203.57507,106.754486,8.048476
195.22647,100.27321,8.493355
194.52159,98.66298,8.345114
193.53606,96.98224,8.17048
191.93495,95.07422,8.0607195
190.46771,93.157684,7.9238157
196.17162,96.16797,7.100075
195.5111,94.2977,7.3615084
196.34523,93.283615,7.667612
199.21149,93.6469,7.8154297
205.54799,96.38655,7.6820965
205.18524,94.56229,8.085798
206.45819,93.823494,8.366756
212.29597,96.04619,8.306751
214.5201,96.6638,8.375618
208.12263,113.99983,8.49453
205.80263,111.5077,8.528589
203.67178,109.04828,8.480083
205.36064,109.14496,8.178721
199.20845,104.0018,8.452935
199.10588,103.03325,8.236436
198.39587,101.60623,8.029498
198.53085,100.87032,7.7511806
197.5229,99.31514,7.5780077
193.0343,95.22603,7.7176447
190.66324,92.54378,7.644345
198.4734,96.84015,7.0340285
199.17369,95.771866,7.343956
201.58449,95.56567,7.5732565
199.84464,92.91417,8.066803
208.56938,97.42737,7.718158
207.55684,94.97018,8.210243
215.47238,98.71408,7.965662
215.0147,97.380905,8.272482
209.6342,115.02054,8.437437
207.89201,112.92356,8.455113
206.19489,110.73386,8.3711
207.55017,110.82707,7.9925833
202.96016,106.863106,8.172117
202.6176,105.6808,7.931526
200.76207,103.616165,7.852049
200.2584,102.38063,7.627388
198.1829,99.96568,7.540723
196.9544,98.357254,7.3988557
194.8527,95.90004,7.304702
193.00899,93.45012,7.413561
202.6441,98.64661,6.978719
203.48595,97.25442,7.3531933
205.20793,97.2071,7.5276847
211.34367,99.71918,7.4273567
210.2166,97.29766,7.9080563
209.7199,95.266174,8.3443575
218.09814,99.831024,7.971629
211.83989,116.50252,8.349152
206.73027,112.240005,8.576864
208.64967,112.66075,8.173595
204.88171,109.25813,8.278816
206.4733,109.582306,7.8757553
204.67882,107.580475,7.795146
203.73175,105.951225,7.60643
203.37483,104.83905,7.3699675
202.22784,103.23802,7.2166386
200.13144,100.758286,7.123956
197.98732,98.40839,7.050557
195.11617,95.26268,7.1798377
196.47815,94.813126,7.4078455
206.23122,99.7346,7.028102
206.1476,98.20689,7.3904867
205.85428,96.44717,7.785188
214.07011,100.44007,7.5083866
213.62784,98.54904,7.9244046
221.2576,102.1947,7.68709
215.85951,120.5349,8.144895
213.5391,118.20575,8.127053
214.34929,117.96692,7.802643
217.53581,119.60843,7.27897
210.20097,113.559814,7.6962805
212.36838,114.33336,7.2446337
211.19257,112.69166,7.095586
210.9152,111.60797,6.8487854
211.35097,111.296875,6.5691338
209.4838,109.18879,6.480915
206.0674,105.55268,6.478892
204.3005,103.71718,6.402687
205.58524,103.57682,6.236768
211.618,106.140625,6.1237
213.58151,106.03479,6.316866
213.28366,104.19658,6.725294
221.9875,108.643555,6.3885517
221.74318,106.93576,6.7801857
229.54326,110.66682,6.534816
218.95528,123.64488,7.9726505
222.85233,125.83078,7.3923254
219.55165,122.74826,7.4558086
221.06255,123.20246,7.0880156
222.57176,123.5253,6.700221
215.90128,118.18022,7.0839195
217.94182,118.7995,6.6347666
215.47032,116.09129,6.58308
217.19362,116.75169,6.191365
214.50633,114.06082,6.1792307
212.3719,111.426285,6.069519
210.39381,109.44776,6.014209
216.42126,112.90912,5.1881704
216.54698,111.76799,5.3353415
219.37111,112.252594,5.4595814
217.03049,108.993454,6.036113
226.12907,113.80768,5.6504073
226.2128,112.33284,6.0145006
234.73741,116.81227,5.666481
224.80112,128.54446,7.5266285
224.36018,127.69899,7.3516607
226.38164,128.58086,6.94732
223.05354,125.614716,7.02744
224.2918,125.708916,6.6606092
226.19196,126.543686,6.2651196
218.90297,120.52342,6.6757994
218.26103,119.278015,6.4748464
221.29707,120.89105,5.9642715
218.36635,118.1026,5.98431
213.00522,113.44743,6.2070804
214.21144,113.452065,5.8226795
220.92236,117.44757,4.9393654
218.19716,114.73851,4.925414
218.54051,113.47379,5.214629
218.98466,112.325554,5.5313606
227.11722,116.53331,5.216467
228.83852,116.21613,5.440135
236.52286,119.97717,5.1843815
222.433,127.41646,7.8145533
222.01656,126.69499,7.6510053
224.93114,128.21626,7.164686
223.57018,126.78929,7.080525
223.46428,125.935776,6.8389773
226.31186,127.491486,6.3618784
227.62785,127.75554,5.9993134
219.73358,121.32108,6.4629574
223.83266,123.715096,5.8575525
222.07784,121.83867,5.7784166
218.87819,118.56254,5.7818594
226.78813,123.68474,4.823392
224.37932,121.14606,4.7751856
220.3008,117.02529,4.8268595
220.23076,116.49136,4.75403
223.90167,117.7945,4.7694836
230.2018,120.70868,4.6085744
230.35512,119.0627,5.002691
238.98412,123.846565,4.605691
222.69287,128.19916,7.864594
227.26617,131.05602,7.245724
225.59561,129.37144,7.188538
228.59204,131.06325,6.7061224
223.41617,126.63519,6.935018
227.34929,129.0664,6.3699694
228.23557,129.14742,6.062394
228.72986,128.59496,5.7433333
229.76822,128.85416,5.426296
230.05827,128.47362,5.1632113
229.08817,126.7753,4.9599924
228.85954,126.18709,4.7610073
227.06894,124.237526,4.6741986
223.35994,120.89503,4.755376
222.7015,119.612465,4.543248
230.9754,124.38392,3.894672
230.9848,122.92316,4.250276
231.71736,121.8345,4.5720043
240.49287,126.7525,4.157524
224.8301,130.20457,7.729761
223.28236,128.63945,7.6665025
223.4531,128.46178,7.463026
227.96492,131.31448,6.851034
231.18187,133.10248,6.336344
224.90282,128.00587,6.6814747
229.07751,130.5898,6.0901003
229.01158,129.67491,5.8270574
230.22517,130.07967,5.4967318
231.4256,130.46315,5.163706
230.76105,129.23438,4.9635468
231.08482,128.85455,4.6909957
