UTS,YS,EL
107.55129,-22.56575,16.082535
113.920555,-15.605971,15.536914
117.652336,-12.531384,15.193789
138.42268,16.792084,13.4969845
148.07838,28.430128,12.693373
156.18518,38.009968,12.004068
165.70245,49.65263,11.203918
176.77473,63.642765,10.278455
191.01802,83.74182,8.820583
206.82013,106.35246,7.2024107
206.50119,104.83099,7.197607
205.48073,101.59918,7.5223217
205.77373,100.03687,7.6496315
210.3929,103.59965,7.1706333
209.06972,99.98026,7.539484
207.66278,96.269554,7.918668
212.44835,99.81608,7.3792496
215.74426,101.42751,7.0144806
226.9133,112.539154,5.5431747
115.862785,-9.923282,15.428324
122.86021,-1.9940524,14.832646
138.37788,19.21825,13.554527
146.5812,28.884787,12.862537
154.4792,38.028496,12.19282
164.4004,50.354614,11.360813
173.92146,62.060875,10.559069
204.27151,105.84403,8.102165
198.17174,93.776825,8.397745
206.92302,106.12864,7.38256
206.28693,104.790955,7.2031183
205.28726,101.60887,7.522045
204.51498,98.680595,7.810417
205.58876,97.98776,7.833189
208.74553,99.81696,7.5596094
207.17284,95.86485,7.967201
211.96582,99.52643,7.436514
215.07022,100.8689,7.094654
226.64067,112.52524,5.5615025
115.53149,-10.793513,15.463534
121.8822,-3.8497424,14.919024
137.23505,16.71312,13.663698
147.42485,29.832218,12.804726
153.36708,35.70928,12.296146
181.39326,76.263695,10.019787
190.28099,86.89472,9.270529
200.12456,98.97726,8.442703
206.85524,106.72884,7.9370775
204.80482,102.66177,8.015341
208.3823,107.4549,6.88916
207.63881,104.611725,7.1681376
207.12634,102.02725,7.4160004
207.9475,101.000244,7.4781723
211.09541,102.81771,7.2059803
209.78654,99.23658,7.569889
209.69974,97.03962,7.7558775
217.52403,104.02444,6.7286263
223.73338,109.176285,5.9691744
114.626335,-12.40285,15.54078
129.59148,7.5759587,14.317911
140.67212,21.9748,13.392438
145.64038,26.300257,12.96566
167.34993,57.08721,11.191015
176.5326,68.0251,10.423818
185.42647,78.74123,9.67218
194.5343,89.442696,8.908848
206.85362,105.681335,7.7694464
206.38808,104.75348,7.761732
205.11732,102.73625,7.628581
209.90851,107.55052,6.8218994
209.32219,104.89085,7.0787144
209.69785,103.2301,7.215475
207.53969,98.68195,7.6941967
212.35237,102.54577,7.180008
210.5446,98.23724,7.6243153
219.82536,107.00842,6.3836994
224.04573,109.77947,5.909255
113.621376,-14.380931,15.631403
128.49834,5.25853,14.420588
138.34103,17.741829,13.5933
142.78398,21.544025,13.201178
163.70218,50.67749,11.499873
171.2385,59.364536,10.855726
185.45514,78.06052,9.6882105
195.23454,89.91862,8.868537
208.35426,107.691986,7.6470737
208.79541,107.9544,7.36567
207.69093,106.15079,7.2086344
206.46574,103.52027,7.2975883
211.92738,108.229294,6.685257
211.19014,105.18423,6.985403
211.46915,103.663376,7.106926
214.43495,105.21469,6.865526
212.55992,100.87463,7.317091
215.01959,101.43663,7.060068
226.63911,113.195015,5.5170097
111.931984,-17.587006,15.7804985
133.13594,12.263555,14.056733
136.05275,13.710031,13.787447
154.19319,38.673237,12.306742
159.51884,43.610226,11.846904
173.66028,62.20457,10.686316
182.50293,72.92232,9.936823
192.23247,84.669624,9.122325
207.20023,105.705246,7.5761957
210.68727,110.58472,7.00379
209.61745,108.70972,6.8934345
208.08382,105.6188,7.0504265
208.03215,103.66672,7.223871
213.36276,108.03879,6.6492043
212.30664,104.81677,6.971346
211.04814,101.30283,7.3273945
215.4278,104.56878,6.88315
217.85553,105.110535,6.6351833
229.27545,116.563,5.1252327
122.861336,-3.1958308,14.975122
137.79665,16.807903,13.752969
143.76562,23.00061,13.240639
147.94093,25.8619,12.882853
172.74413,61.399624,10.863125
177.48209,65.315186,10.452585
189.24098,80.280235,9.478212
199.79141,94.12563,8.402018
214.85997,115.43399,6.731737
216.86763,117.99294,6.3440447
214.9032,115.15625,6.2812376
214.16637,113.55057,6.1962414
215.53725,113.690125,6.043415
218.5026,115.28433,5.796959
218.80836,113.711716,5.92449
217.5095,110.12219,6.2894077
222.28416,113.91094,5.783577
223.39508,112.97092,5.740925
234.5841,124.16084,4.281867
130.50255,6.8173985,14.414698
133.20303,7.402905,14.176783
149.74242,29.96743,12.823259
157.70416,38.75913,12.162626
164.1065,45.2649,11.619776
191.1877,83.86163,9.430899
195.4753,87.13833,9.0528145
210.45848,108.45434,7.5267487
221.72131,124.226105,6.116102
220.35185,121.90366,6.091632
219.15399,120.10645,5.8936768
218.30684,118.33182,5.836914
223.06946,123.60005,4.8768167
223.05635,121.64563,5.048791
223.94368,120.77614,5.093294
221.27211,115.524376,5.654501
226.36026,119.7286,5.09978
226.3299,117.48697,5.2301483
237.49802,128.7926,3.7882385
129.32014,3.3620076,14.550894
142.68788,20.526054,13.462597
