UTS,YS,EL
184.07019,112.44332,6.4967604
185.72113,111.41751,6.542718
187.09981,110.34882,6.5010157
188.45683,108.066,7.0293093
190.69821,107.166046,7.146447
192.33072,105.89995,7.243905
194.11525,104.62742,7.3787947
195.89539,103.19462,7.5630236
197.52246,101.57768,7.7919245
199.1769,99.87256,8.061004
201.23563,98.294716,8.364247
202.5734,96.0866,8.755273
204.75052,94.59326,9.053781
206.97694,94.12861,8.835437
209.12059,93.963295,8.773526
212.0357,96.0115,8.200257
214.75226,97.686455,7.4392004
220.7236,103.44765,6.387141
233.79016,113.452934,5.262578
185.0,112.703,6.66455
186.0739,111.10029,6.8192797
187.51765,109.27245,7.1618643
189.3726,108.22993,7.2516756
191.21681,107.1452,7.3312273
192.94537,105.83256,7.483573
194.62952,104.48348,7.6239805
196.31235,101.66405,8.450782
198.38496,101.70462,8.016185
200.42885,100.30404,8.261292
202.60391,98.94094,8.495986
204.10147,96.81925,8.89681
205.63629,94.74444,9.274682
207.8934,93.42655,9.478952
210.6673,95.125374,8.791923
213.27206,96.950035,8.223714
216.80916,100.18908,7.156247
220.45789,104.335304,6.1024637
233.81183,114.776085,4.893155
185.4808,113.071144,6.6453943
186.70332,111.65342,6.7542143
188.85516,110.37632,7.054328
190.02188,108.67747,7.2457876
192.30713,108.06002,7.237336
193.50018,105.10627,8.016465
195.35504,103.92933,8.126786
197.1518,102.59124,8.26934
199.38846,101.3273,8.522159
201.35449,99.94799,8.731219
203.63257,99.97904,8.322021
205.35443,98.03181,8.7093935
207.11354,96.13294,9.073331
209.14285,94.608505,9.30152
211.78308,95.85719,8.7226515
214.90402,98.37234,8.049062
218.758,102.77776,6.8905
222.0162,106.01638,5.83484
232.25775,114.67855,4.715564
185.72188,113.29836,6.6179
187.52399,111.74976,6.964486
188.94708,110.22694,7.1630335
191.42459,109.87468,7.1132402
192.65259,107.373924,7.68151
194.82913,106.4522,7.7860537
196.54805,105.172554,7.903634
198.7869,104.22081,7.9987497
200.86191,102.99476,8.179851
202.41441,100.88619,8.61687
204.03403,99.13188,8.864694
206.83286,99.33796,8.549079
208.67499,97.46436,8.92781
210.01253,95.48513,9.156438
213.01183,96.9141,8.836619
216.68945,100.36268,7.736314
220.05212,104.29876,6.681781
223.49416,107.70726,5.5538416
232.56137,115.772514,4.447835
186.24869,113.73208,6.582946
188.66669,112.70063,6.8690443
190.09424,111.26445,7.026332
192.05862,110.557365,6.985656
194.0594,108.698616,7.4871416
195.70334,107.479126,7.564662
197.86363,106.18386,7.835904
199.88464,105.021736,7.964528
201.51154,103.40769,8.1924925
203.95734,102.280365,8.433299
205.71254,100.634605,8.671979
207.46277,98.79276,9.016469
210.14636,98.848305,8.726827
211.09637,96.40557,9.059619
214.86545,98.564255,8.58311
217.95654,101.74994,7.5119467
221.70203,106.16609,6.398673
225.1558,110.187416,5.332654
234.27213,117.9463,4.0615835
187.19562,114.550766,6.4917917
188.95496,112.620735,7.007022
190.99936,112.11524,6.9036837
192.89178,110.41569,7.318734
195.15866,109.824905,7.2909765
197.33403,108.57046,7.559823
198.91092,107.18941,7.6831427
201.00258,106.08387,7.806878
203.238,104.903755,8.018186
204.76097,103.21758,8.2345915
206.95496,101.75564,8.526332
208.51671,99.72781,8.902017
210.82523,98.21853,9.252252
212.78244,97.792946,8.927039
216.03394,99.94091,8.395284
219.77376,104.307434,7.2914114
223.10283,107.65966,6.1543894
227.13434,112.38312,4.9842634
235.93251,119.65008,3.801013
191.66998,117.24707,6.618741
193.73407,115.967155,6.911416
195.71732,115.21435,6.9118013
198.63191,115.251,6.812522
199.89832,112.57392,7.4808664
202.36569,112.17243,7.4230585
204.40555,110.95156,7.6188555
206.41394,109.82664,7.725911
209.35681,109.24239,7.8728094
211.58478,107.90466,8.147126
212.38806,105.61085,8.399085
215.55669,105.10578,8.625619
218.69904,106.32075,8.244189
221.50272,107.291145,7.794318
225.21007,110.76269,6.897256
228.68839,114.80714,5.834714
232.41847,118.62202,4.6305037
236.60349,123.52271,3.4345255
240.17032,127.18656,2.257247
194.92792,119.250206,6.702077
197.95511,119.529,6.541213
199.807,117.94901,6.8961573
202.55966,117.609436,6.9304457
204.99837,117.08262,6.929328
207.09341,114.883575,7.630063
209.40385,114.368576,7.5640135
210.95493,112.647026,7.819272
214.22675,112.43984,7.8858404
216.48064,111.3065,8.131322
218.13248,110.75173,8.005326
222.0756,112.64611,7.6784105
225.76956,115.11869,6.8427916
229.0066,116.11014,6.614787
