UTS,YS,EL
197.72183,114.54308,9.027095
197.74277,112.65277,8.987292
197.58282,110.59108,8.952422
195.88809,107.05209,8.858802
196.00037,105.09393,8.815017
195.71025,102.822914,8.764537
196.7213,102.20099,8.45877
197.57239,101.386345,8.1435995
198.13803,100.30711,7.8329077
198.60757,99.11933,7.5151014
199.4127,98.1948,7.168437
199.20581,96.33212,6.8517103
200.14902,95.5355,6.4993773
203.53683,96.7905,6.424567
206.54962,97.17871,6.8733053
209.7253,97.69957,7.3103514
214.5785,99.84938,7.6990957
217.62631,100.196365,8.1538
222.46187,102.34738,8.531592
197.3458,114.15901,8.991328
197.2895,112.215996,8.95407
196.14949,109.21521,8.875167
196.04468,107.13833,8.832694
195.92126,104.99471,8.792769
195.6583,102.78263,8.71556
196.55518,102.05287,8.41442
195.53012,99.44074,8.0497465
198.39688,100.55936,7.7731924
199.36122,99.8363,7.438594
200.4834,99.21101,7.091857
200.41876,97.4829,6.7666426
200.45242,95.83034,6.43917
202.91336,96.124466,6.389243
207.47208,98.09062,6.756545
210.3722,98.34355,7.2199354
215.61655,100.87639,7.571967
218.596,101.16035,8.037585
223.88142,103.75238,8.376525
197.97925,114.7094,8.994052
197.96967,112.80928,8.959365
197.52,110.3951,8.883876
196.58847,107.60329,8.83155
197.05092,105.97168,8.79956
194.76154,101.91818,8.643756
195.91312,101.429016,8.33649
196.89041,100.734344,8.023742
198.0407,100.20488,7.681468
199.02551,99.50127,7.353614
202.03629,100.685715,7.056365
202.24194,99.21257,6.721183
202.54727,97.81672,6.383857
204.43335,97.640785,6.2669897
208.97636,99.5925,6.6354513
212.21945,100.18221,7.0660315
215.99661,101.211716,7.4903593
220.24005,102.80051,7.904151
223.8724,103.70824,8.33409
198.41978,115.10043,8.998683
198.05573,112.813126,8.932296
197.2995,110.19484,8.870315
198.07516,108.887146,8.841861
196.14658,105.08893,8.751407
196.80203,103.84898,8.598063
197.78201,103.19986,8.29684
199.36533,103.07585,7.966445
200.54668,102.57614,7.637889
200.4553,100.85804,7.311904
200.9346,99.62943,6.990962
204.23859,101.10417,6.662692
204.60837,99.76741,6.320464
205.52405,98.73263,6.1797934
208.62993,99.20656,6.598014
214.05637,102.0081,6.913707
216.98853,102.204185,7.39445
221.90645,104.461136,7.7661657
225.01437,104.84535,8.216887
199.25131,115.82265,9.006469
199.24823,113.839096,8.941161
198.59584,111.31945,8.883056
198.92932,109.64131,8.853774
197.80461,106.53084,8.768657
198.30983,105.27934,8.573245
199.3576,104.692,8.238856
200.6066,104.25405,7.9162397
201.17493,103.17818,7.6057463
202.5799,102.869965,7.2519407
203.23615,101.808014,6.925349
203.589,100.47455,6.5922384
206.69345,101.744865,6.265353
206.69199,99.89856,6.077346
211.05246,101.614685,6.4109373
215.41971,103.370865,6.802047
218.57631,103.78391,7.2582045
221.66504,104.177895,7.716712
227.17123,106.98785,8.033252
200.43271,116.84827,9.018554
199.10815,113.6985,8.923694
199.65588,112.24417,8.89453
198.70059,109.35244,8.8151655
199.20688,107.76104,8.785907
200.05649,106.9301,8.49496
200.86066,106.11896,8.200366
202.22838,105.790115,7.875247
203.47824,105.357155,7.5362387
203.95265,104.17439,7.2289953
204.94162,103.42505,6.8771544
205.01035,101.82404,6.550849
205.95154,101.02596,6.1881323
208.49057,101.68346,5.920146
211.9368,102.49974,6.3247557
215.23697,103.145515,6.750457
220.24352,105.5147,7.1094694
223.73447,106.234924,7.5465307
228.83365,108.64725,7.9009542
203.75085,119.585106,8.988593
203.26854,117.20805,8.925029
203.48108,115.45172,8.883216
204.74948,114.56947,8.858104
203.47098,111.70805,8.581943
205.74817,112.305305,8.261615
206.84892,111.772934,7.9388533
208.15765,111.391785,7.619006
210.35489,111.85045,7.2510633
211.42554,111.22829,6.9050436
211.0191,109.170876,6.623992
212.69945,109.08714,6.2296896
214.35,108.96063,5.8773336
216.17987,108.977615,5.544238
219.08759,109.560165,5.657016
222.21933,110.04436,6.0995016
227.57187,112.756134,6.4278364
231.20291,113.615555,6.8524237
236.2649,115.99507,7.2122335
206.22258,121.64429,8.969481
207.73215,121.063835,8.960219
206.88586,118.31078,8.878341
208.33975,117.871414,8.704673
210.41507,118.284966,8.381629
210.197,116.50346,8.016082
212.29227,116.91327,7.7009573
212.7035,115.68724,7.391696
215.4657,116.67871,7.013976
216.25963,115.79784,6.6681356
216.51608,114.364395,6.3720083
218.12674,114.21788,5.976035
221.77817,116.0065,5.6367903
222.80048,115.23468,5.2598104
224.87897,115.28472,5.1106215
227.49953,115.26253,5.577819
233.13966,118.25862,5.8808355
236.84842,119.19838,6.300742
242.59677,122.25197,6.5980253
209.20572,124.22456,8.988048
209.54985,122.54907,8.936538
210.66406,121.59128,8.875682
211.46286,120.81769,8.5222845
213.34705,121.05339,8.205714
216.14148,122.13977,7.83805
215.14844,119.613815,7.509597
216.57231,119.34098,7.170947
219.8197,120.79243,6.7917814
220.70753,120.00168,6.431445
220.54752,118.17453,6.0805006
222.52982,118.38202,5.7407293
226.53351,120.50371,5.3940535
227.47096,119.692505,5.025676
228.24501,118.6089,4.728904
231.9115,119.62222,5.124156
237.6065,122.603775,5.4269056
241.57733,123.87634,5.820998
246.84128,126.45445,6.157424
209.47278,124.33757,8.9330015
209.99466,122.830795,8.886226
211.81274,122.67828,8.749709
213.60043,122.839554,8.373771
215.05663,122.671814,8.055018
218.27962,124.16342,7.6793585
220.53404,124.72128,7.33377
219.49744,122.106964,6.989238
223.15079,123.94374,6.6062994
224.61345,123.696335,6.232852
224.78647,122.18509,5.913642
229.82365,125.29782,5.5212774
230.69531,124.44257,5.168952
230.16621,122.21308,4.8738966
232.7938,122.97565,4.4214582
237.20917,124.861465,4.6180067
242.4104,127.3537,4.946948
245.50143,127.76114,5.4118795
251.73895,131.2972,5.6573744
210.59612,125.22402,8.904086
212.61714,125.10565,8.90525
213.7023,124.46551,8.623645
216.94998,126.02713,8.255961
216.8333,124.35376,7.920974
220.68753,126.437744,7.526725
223.09915,127.14479,7.158538
224.58333,126.93822,6.843154
227.3086,127.90057,6.45
229.56265,128.4003,6.071185
230.44965,127.56598,5.7555265
233.01144,128.31755,5.3348875
234.45625,128.0028,4.955077
235.3209,127.08403,4.5628576
236.88736,126.85098,4.2005873
242.16565,129.8147,4.167224
245.73846,130.71732,4.5712194
249.45676,131.67621,4.997218
255.78606,135.30513,5.2341566
212.04428,126.46706,8.899932
212.15054,124.614426,8.850657
214.49905,125.220505,8.509482
218.44836,127.445496,8.1282
221.71523,128.98242,7.760024
221.51259,127.2249,7.400855
225.43442,129.35591,7.004916
226.83017,129.06496,6.683055
229.6542,130.12239,6.2859755
232.50613,131.18408,5.8858557
234.11488,131.03058,5.5235357
236.39888,131.52394,5.1386023
237.90234,131.26288,4.757491
239.03842,130.60484,4.377635
241.71138,131.41759,3.9897451
245.10052,132.72198,3.8394423
249.09201,134.0376,4.2067366
252.88783,135.07663,4.6280622
259.2263,138.71628,4.863883
211.98526,126.32965,8.85226
212.86955,125.16425,8.798789
217.01225,127.615616,8.410449
219.11087,128.07422,8.030383
222.32376,129.56435,7.6536016
224.00864,129.58394,7.2614164
226.4987,130.36832,6.879466
229.38063,131.47963,6.533984
231.93484,132.27974,6.1215277
234.61629,133.18463,5.731517
236.6683,133.44925,5.350192
238.47812,133.49889,4.985709
240.36166,133.59845,4.590598
243.10797,134.49715,4.1958075
244.22069,133.79997,3.8044882
248.17072,135.75882,3.4977903
252.52449,137.43333,3.8329573
256.52676,138.67752,4.2358084
262.75363,142.21071,4.4836683
211.15048,125.52427,8.780124
214.1612,126.40788,8.748824
216.48082,127.122284,8.348285
221.60837,130.45947,7.932952
222.68692,129.91443,7.5601873
226.36101,131.83571,7.1700697
227.32349,131.15433,6.7634153
230.76817,132.79536,6.4008665
233.11404,133.40448,5.9994955
236.10367,134.60005,5.595462
238.94702,135.6092,5.190528
241.49786,136.35687,4.803405
243.23448,136.32106,4.4213705
244.78192,136.09012,4.0334044
246.18146,135.66383,3.6354818
250.99384,138.50665,3.2372236
255.67557,140.56003,3.5027304
259.17282,141.30286,3.9270506
265.7811,145.21393,4.1469755
212.55125,126.74539,8.783027
213.64862,125.907715,8.669978
216.71716,127.35315,8.280898
221.0953,129.98398,7.867156
223.07939,130.29388,7.4843855
227.01857,132.46399,7.0594664
230.84851,134.51245,6.658992
231.99493,133.96318,6.277648
234.73032,134.93666,5.8567266
238.13739,136.52939,5.4630613
240.58173,137.19481,5.0540457
242.7125,137.51709,4.6709204
244.78357,137.79681,4.277999
247.19873,138.38411,3.8627386
252.37997,141.55307,3.454486
253.54367,140.92911,3.0694532
257.82858,142.69878,3.2373266
261.57004,143.68587,3.6483335
268.3996,147.81667,3.8455763
211.26324,125.55438,8.705512
213.36267,125.63217,8.582381
219.17603,129.69875,8.186175
220.67746,129.59619,7.79589
225.9523,133.03238,7.368205
227.38394,132.8172,6.9733305
231.89561,135.50768,6.547084
234.54305,136.40216,6.1881857
235.39746,135.57938,5.765033
240.12802,138.41937,5.328143
241.29819,137.85355,4.9535856
245.00954,139.69739,4.5258627
247.80963,140.6656,4.1215086
250.88474,141.87494,3.694991
254.35716,143.4353,3.3071012
256.4199,143.65848,2.8871336
260.28976,145.13739,2.942809
264.25992,146.35521,3.3415174
271.21988,150.61494,3.5243025
211.64288,125.90312,8.69937
214.13095,126.38574,8.546653
217.28561,127.925476,8.1661215
220.72086,129.64728,7.7419615
224.9413,132.09003,7.322997
227.96735,133.37746,6.8919325
231.5553,135.19824,6.473117
235.43515,137.24976,6.046069
239.00778,139.02078,5.6531553
239.1362,137.49725,5.244666
242.71419,139.20076,4.8073225
245.23112,139.9223,4.4223433
248.45416,141.28943,3.9922247
254.10873,144.95908,3.5721998
255.88147,144.89207,3.17583
258.42313,145.567,2.7468634
261.95938,146.80132,2.7194624
266.59726,148.67822,3.0653906
273.4095,152.79425,3.2577963
210.15164,124.54608,8.623992
212.62817,124.962685,8.494914
217.15198,127.794495,8.079997
221.78928,130.68776,7.6859007
224.78677,131.95432,7.260436
230.08328,135.40637,6.803088
231.04214,134.72725,6.405101
235.83115,137.63608,5.957164
239.83942,139.8153,5.5375853
243.51657,141.66493,5.11349
246.73814,143.06635,4.699931
250.17535,144.62433,4.275073
252.82889,145.45473,3.858451
255.85254,146.619,3.4266233
257.91034,146.82248,3.0275526
259.9564,147.03278,2.6051054
263.3243,148.16428,2.5230665
270.6257,152.73134,2.7108183
275.4523,154.83043,3.0038176
208.41162,122.98566,8.552142
213.35703,125.68228,8.465144
217.7615,128.39816,8.031661
220.90147,129.86613,7.6281614
223.57773,130.82507,7.2065954
228.39293,133.82626,6.7732077
233.88638,137.44588,6.3159094
235.3495,137.19612,5.9171286
239.6553,139.65715,5.4734564
244.22345,142.3453,5.010745
247.13443,143.45584,4.6048193
250.77396,145.20383,4.170268
253.66136,146.2568,3.7447538
256.4047,147.1586,3.3270712
259.06577,147.93077,2.9070692
261.90182,148.88394,2.4608984
264.51883,149.36203,2.3409872
272.3871,154.48691,2.4822721
277.0516,156.42947,2.788787
