UTS,YS,EL
199.9089,113.06356,9.016136
197.3244,109.50847,9.120605
194.41962,105.59469,9.229946
193.26001,103.34002,9.21431
194.81702,103.29597,8.915743
195.77487,102.682915,8.649582
196.76389,102.097435,8.387028
197.57324,101.33257,8.1408615
198.07928,100.31899,7.924191
198.47173,99.204834,7.721516
199.20113,98.37407,7.496693
198.87486,96.634995,7.35969
199.74544,95.92955,7.1247716
202.2828,96.423836,6.6659074
202.70625,95.02516,6.701533
206.77994,96.34946,7.1097665
214.59723,99.833755,7.6650167
222.93286,105.39764,7.4314466
236.00012,113.47913,7.3086324
199.73123,113.04147,9.0762005
197.07523,109.42762,9.190403
193.38953,104.978355,9.417402
193.52866,103.72439,9.249737
194.75623,103.35232,8.964426
195.62592,102.68889,8.717253
196.50116,102.00339,8.462376
195.21451,99.66784,8.485134
198.25189,100.61357,7.968144
199.15942,99.96297,7.726973
200.23306,99.40982,7.465262
200.04736,97.80698,7.3219056
199.96886,96.2722,7.164191
201.17139,95.769066,6.881579
203.03851,95.76334,6.5058103
206.74493,96.73382,6.9392
214.80339,100.4351,7.465203
222.30582,105.21391,7.364838
235.6438,113.48937,7.2310624
200.40404,113.645195,9.032446
197.7868,110.058846,9.139717
194.83946,106.27566,9.317493
194.23001,104.37255,9.206936
196.19241,104.62479,8.857298
194.54659,101.99572,8.901596
195.68459,101.53268,8.624512
196.63176,100.86901,8.361092
197.72327,100.410645,8.113266
198.66452,99.77021,7.8616624
201.84836,100.80126,7.3297524
201.93799,99.44353,7.166796
202.13635,98.15542,6.9893327
203.0651,97.40871,6.7261834
204.94081,97.396416,6.3594174
208.77774,98.337326,6.8268056
213.98047,100.4506,7.2302175
223.90399,106.19645,7.356663
233.55704,112.48659,7.144366
200.85828,114.04366,8.999153
198.04817,110.40293,9.167612
194.69775,106.20472,9.3483925
196.12253,106.04249,9.062838
195.16788,103.92919,9.018181
196.67923,103.83073,8.71998
197.63785,103.2062,8.456402
199.21559,103.09708,8.142944
200.3633,102.64846,7.875241
200.14044,101.06963,7.747275
200.55167,99.910645,7.530993
203.99971,101.2555,7.0063443
204.26654,100.04246,6.826512
204.44162,98.60031,6.610745
204.21169,97.01601,6.506438
210.81686,99.952286,6.711766
214.82193,101.2493,7.1272817
225.39456,107.13093,7.342776
233.64105,112.6708,7.098082
201.73694,114.827965,8.936472
199.31439,111.53786,9.078732
196.0387,107.385315,9.248362
197.19061,106.95718,8.969976
197.26686,105.75409,8.847002
198.25879,105.15543,8.576538
199.24815,104.65711,8.34367
200.47223,104.24015,8.060501
200.9813,103.22959,7.843552
202.33682,102.990364,7.5735784
202.93344,101.99897,7.3432355
203.18481,100.764984,7.1608872
206.42288,101.915215,6.6526437
205.87727,99.87302,6.5036435
207.24985,99.62955,6.24775
212.38167,101.14924,6.6410565
216.4985,102.62568,7.012461
221.95474,105.44509,7.2114816
235.30338,113.75405,7.0682893
202.97337,115.924835,8.846613
199.28888,111.59049,9.109159
197.12637,108.33703,9.165344
197.00513,106.966286,9.055994
199.02344,107.26022,8.697676
200.02718,106.790955,8.467062
200.80145,106.00072,8.217413
202.16113,105.71108,7.9221845
203.35997,105.325516,7.659804
203.7735,104.19883,7.444098
204.69598,103.54332,7.204518
204.65105,102.05542,7.04736
205.50372,101.365715,6.8251805
208.07803,101.830414,6.3407044
208.30936,100.594795,6.1803727
210.59717,100.600685,6.3779645
218.50089,104.15093,6.9282365
223.80801,106.61012,7.1930547
237.03458,114.8038,7.0641103
206.84003,119.60785,8.658623
203.9058,115.855194,8.835325
201.7958,112.67903,8.895056
204.74399,113.83437,8.469526
203.48215,111.493095,8.468348
205.81293,112.05572,8.083416
206.86668,111.56852,7.832375
208.16406,111.20999,7.5389524
210.34995,111.700455,7.199698
211.35184,111.15337,6.960015
210.86157,109.1677,6.801783
212.45825,109.1799,6.5366178
214.08939,109.08011,6.220206
215.94568,109.06351,5.85175
216.89691,108.40859,5.6086717
217.10152,106.959435,5.557181
224.90092,110.1586,6.17207
229.57268,112.04503,6.523171
240.89749,118.2237,6.7049127
209.74585,122.38492,8.513529
208.65182,120.11043,8.499775
206.25955,116.8009,8.615774
208.57733,117.448746,8.26132
210.67834,117.83601,7.9054856
210.2467,116.28338,7.8575616
212.38144,116.63553,7.482817
212.72275,115.48443,7.28208
215.50272,116.47349,6.8886
216.20618,115.69263,6.681706
216.4166,114.31675,6.4634748
217.9284,114.26035,6.209557
221.73459,115.896164,5.6530805
222.66064,115.227455,5.422316
