UTS,YS,EL
193.30219,110.86898,9.336147
193.85742,109.2127,9.240513
193.88486,106.78171,9.222683
195.23521,107.974754,8.618656
196.34744,106.97578,8.431992
196.86913,105.4192,8.275734
197.60814,104.166275,8.080357
198.44106,103.14121,7.8387713
199.25073,102.31315,7.555904
200.17722,101.73246,7.2330203
201.4947,101.53512,6.869392
202.40147,101.45145,6.431106
203.8117,101.30031,6.0703006
203.96721,97.729805,6.2134967
207.46544,99.3901,6.4106174
211.2799,101.37606,6.607864
214.5988,99.83185,7.6738124
221.03673,103.48516,7.6830897
227.30385,103.80301,8.540928
194.14589,112.64977,9.09198
194.86488,111.3194,8.946125
195.86894,111.43215,8.536613
196.61397,110.093155,8.383202
197.29382,108.58175,8.241001
198.05019,107.45949,8.029903
198.70972,106.164696,7.8334002
201.00252,109.22118,6.964195
200.615,104.416306,7.324226
201.8171,103.93854,7.0187984
203.06725,103.371284,6.720451
204.1421,103.463936,6.27021
205.18025,103.39467,5.8414874
206.40834,102.63033,5.5597606
208.74232,101.154655,6.1272807
212.32643,102.941154,6.3439784
215.95476,101.62374,7.394691
222.08083,104.91307,7.4648013
228.59224,105.31305,8.337364
194.74188,113.00331,9.100399
195.2881,111.347336,9.002266
196.82063,111.67113,8.622459
197.19496,110.52423,8.378929
198.06342,108.74612,8.31702
199.84868,111.302315,7.5001674
200.59605,109.93355,7.330623
201.34805,108.65154,7.129623
202.75853,108.39867,6.8142047
203.79942,107.62927,6.5451617
203.5898,102.97597,6.8756175
204.83711,103.13837,6.4352336
206.04686,103.136635,6.0168376
207.10158,102.30026,5.725738
209.49983,100.86111,6.31496
213.38159,102.87406,6.514972
217.33525,104.31011,6.88409
222.88179,104.62435,7.659488
229.42036,107.54025,7.878078
194.98877,112.96786,9.143826
196.5435,113.28691,8.7784
197.19139,112.477646,8.5131645
198.14882,110.64945,8.488255
199.45021,111.86767,7.8740764
200.48714,110.73171,7.7058597
201.13853,109.32333,7.5313563
202.16483,108.03303,7.370086
203.25081,107.19678,7.1271853
204.48732,107.63909,6.64146
205.28914,106.78578,6.3387675
205.79152,103.139725,6.5702815
207.09587,103.28204,6.136005
207.53938,101.97682,5.8549037
210.76537,104.26743,5.59637
214.38121,102.775734,6.6857715
218.13515,104.79812,6.8704143
223.72963,104.459175,7.828792
230.33824,108.3766,7.7957644
195.51143,113.03255,9.206722
197.33351,113.458626,8.855175
197.89644,112.389015,8.6310425
198.41801,110.269905,8.6048355
200.24992,111.588715,8.0434
200.76318,109.91888,7.909782
202.16536,109.810326,7.578174
203.08894,108.5958,7.387504
203.89684,107.76323,7.105575
205.44627,107.53396,6.7983127
206.3404,106.711235,6.502479
207.50983,106.614525,6.1036296
207.96053,103.02392,6.3111186
208.30022,102.12551,5.933822
211.84682,103.54724,5.944347
215.10553,102.58026,6.8426394
219.07538,104.89389,6.980991
224.83354,107.86916,7.1008754
231.5324,108.44535,7.9552226
196.21638,113.054245,9.304745
197.9538,114.5951,8.713608
198.4222,112.22807,8.738838
199.98584,113.01894,8.261307
200.78162,111.09372,8.219212
202.21553,111.026855,7.8902392
